name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
LK1	-37.2265	8.55495	-13.8366468269732	-999	LK	L	depth	-33.8083	7.07699	-11.5767	Left AIns anterior insula	insula	n/a	n/a
LK2	-36.3757	9.89892	-11.0201501980265	-999	LK	L	depth	-32.5476	8.51443	-9.5008	Left Cerebral White Matter	insula	n/a	n/a
LK3	-36.3968	11.3324	-7.95112250792351	-999	LK	L	depth	-31.8066	10.0285	-7.01216	Left AIns anterior insula	insula	n/a	n/a
LK4	-35.2953	14.8492	-4.9839901955595	-999	LK	L	depth	-30.1669	13.0018	-4.32294	Left Cerebral White Matter	insula	n/a	n/a
LK5	-33.8765	16.3457	-1.58743009570814	-999	LK	L	depth	-28.9743	14.6366	-1.37041	Left Cerebral White Matter	insula	n/a	n/a
LK6	-31.4669	19.0438	1.3004134843103	-999	LK	L	depth	-27.3004	17.5196	1.04738	Left Cerebral White Matter	lateralorbitofrontal	n/a	n/a
LK7	-28.5558	20.2026	5.31131406249495	-999	LK	L	depth	-25.1369	19.2132	4.34448	Left Cerebral White Matter	lateralorbitofrontal	n/a	n/a
LK8	-27.8038	22.8046	8.29937363436065	-999	LK	L	depth	-24.4681	22.1557	7.2471	Left Cerebral White Matter	lateralorbitofrontal	n/a	n/a
LK9	-26.7304	24.4344	11.1356000838778	-999	LK	L	depth	-23.727	23.6819	9.97932	Left Cerebral White Matter	parstriangularis	n/a	n/a
LK10	-23.5126	26.2331	13.665156765566	-999	LK	L	depth	-21.4954	25.174	12.3155	Left Cerebral White Matter	parstriangularis	n/a	n/a
LK11	-22.1116	29.0392	16.2070658011877	-999	LK	L	depth	-20.7926	28.0156	14.7376	Left Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
LK12	-18.8255	30.1926	19.4588547290964	-999	LK	L	depth	-18.629	29.7092	18.0346	Left Cerebral White Matter	caudalanteriorcingulate	n/a	n/a
LK13	-17.4284	32.1785	22.3315806577004	-999	LK	L	depth	-17.9475	32.2132	21.0406	Left Cerebral White Matter	superiorfrontal	n/a	n/a
