name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region
LFPG1	-18.0911	13.9504	67.6614363125497	-999	LFPG	L	grid	-15.2959	16.0714	63.9011	n/a	superiorfrontal
LFPG2	-24.0014	1.78761	70.9389695573291	-999	LFPG	L	grid	-19.8583	6.35476	66.3171	n/a	superiorfrontal
LFPG3	-27.6571	-11.2303	72.4714702604695	-999	LFPG	L	grid	-22.2881	-3.01415	67.9149	n/a	precentral
LFPG4	-31.7559	-17.4268	74.0802977331532	-999	LFPG	L	grid	-27.2898	-13.3222	68.971	n/a	precentral
LFPG5	-29.4688	-30.3148	72.8769659009872	-999	LFPG	L	grid	-28.6135	-22.8854	69.9267	n/a	precentral
LFPG6	-34.0225	-40.4316	72.5378181300786	-999	LFPG	L	grid	-28.8085	-32.2714	68.4837	n/a	postcentral
LFPG7	-29.6074	-49.9322	73.1547024036743	-999	LFPG	L	grid	-27.8176	-42.5881	65.9319	n/a	superiorparietal
LFPG8	-26.467	-57.7509	72.2562789522357	-999	LFPG	L	grid	-26.8609	-52.4437	63.1743	n/a	superiorparietal
LFPG9	-28.9358	17.4021	62.0090502625731	-999	LFPG	L	grid	-22.6991	17.9119	56.2534	n/a	superiorfrontal
LFPG10	-31.2278	8.69991	64.8289903129682	-999	LFPG	L	grid	-27.8716	8.89101	59.1207	n/a	superiorfrontal
LFPG11	-36.6393	-3.64762	65.555842949561	-999	LFPG	L	grid	-31.2824	-1.29539	60.2221	n/a	superiorfrontal
LFPG12	-39.2736	-12.4598	67.5691792054152	-999	LFPG	L	grid	-33.7122	-10.6643	61.8199	n/a	precentral
LFPG13	-37.4798	-27.6902	69.203165948648	-999	LFPG	L	grid	-35.9714	-21.3203	61.6066	n/a	precentral
LFPG14	-41.0058	-38.7435	68.2132087039374	-999	LFPG	L	grid	-36.0978	-31.6285	60.5753	n/a	postcentral
LFPG15	-42.499	-49.834	65.3413188261844	-999	LFPG	L	grid	-35.107	-41.9452	58.0235	n/a	superiorparietal
LFPG16	-37.2234	-58.1407	67.6732444100172	-999	LFPG	L	grid	-34.1957	-51.5254	55.9382	n/a	superiorparietal
LFPG17	-38.8303	20.4116	55.6861168864572	-999	LFPG	L	grid	-31.6704	18.9839	49.6446	n/a	caudalmiddlefrontal
LFPG18	-41.6996	12.0602	57.315762284338	-999	LFPG	L	grid	-35.2294	10.4561	50.8006	n/a	caudalmiddlefrontal
LFPG19	-44.6508	-2.4527	59.9662699628585	-999	LFPG	L	grid	-37.5111	-0.571469	52.3437	n/a	caudalmiddlefrontal
LFPG20	-45.7682	-9.81915	61.3009910131293	-999	LFPG	L	grid	-41.0245	-9.37465	52.8276	n/a	precentral
LFPG21	-46.2152	-22.976	63.2737538131549	-999	LFPG	L	grid	-42.1545	-20.8717	53.056	n/a	precentral
LFPG22	-47.3122	-32.4785	62.799539188641	-999	LFPG	L	grid	-43.4101	-30.3388	51.5829	n/a	postcentral
LFPG23	-49.3776	-46.1928	58.7856068605872	-999	LFPG	L	grid	-42.476	-40.5659	50.5816	n/a	superiorparietal
LFPG24	-48.0655	-54.9403	57.7272571658065	-999	LFPG	L	grid	-41.4852	-50.8826	48.0299	n/a	inferiorparietal
LFPG25	-45.1184	20.9606	49.2522113346816	-999	LFPG	L	grid	-40.3163	21.8446	44.6561	n/a	rostralmiddlefrontal
LFPG26	-48.4937	15.4296	49.1436620507409	-999	LFPG	L	grid	-42.6097	11.6497	44.237	n/a	caudalmiddlefrontal
LFPG27	-52.0123	1.27056	52.8613750680598	-999	LFPG	L	grid	-44.9485	1.73002	44.4902	n/a	caudalmiddlefrontal
LFPG28	-54.2381	-8.76892	53.7541117464861	-999	LFPG	L	grid	-47.2531	-8.65063	44.9492	n/a	precentral
LFPG29	-56.1392	-15.7958	52.3374686666779	-999	LFPG	L	grid	-49.0616	-18.5297	45.2175	n/a	postcentral
LFPG30	-57.0013	-27.9712	52.8983668583679	-999	LFPG	L	grid	-50.1692	-29.6554	43.6895	n/a	postcentral
LFPG31	-57.4646	-39.7304	50.1142099096536	-999	LFPG	L	grid	-50.3642	-39.0414	42.2465	n/a	supramarginal
LFPG32	-57.2343	-51.861	46.9286806238864	-999	LFPG	L	grid	-49.4187	-49.0828	40.3671	n/a	inferiorparietal
LFPG33	-51.3091	24.7195	38.5985428646691	-999	LFPG	L	grid	-48.769	23.7897	36.1001	n/a	rostralmiddlefrontal
LFPG34	-52.4274	17.0027	41.2808866330873	-999	LFPG	L	grid	-50.5433	13.4496	36.5742	n/a	caudalmiddlefrontal
LFPG35	-55.9299	9.99359	43.603049332364	-999	LFPG	L	grid	-51.7759	3.33565	36.1852	n/a	precentral
LFPG36	-60.2746	-3.39421	42.9354350291554	-999	LFPG	L	grid	-54.0351	-7.32044	35.9718	n/a	precentral
LFPG37	-64.8403	-15.8866	40.219097793256	-999	LFPG	L	grid	-54.1617	-17.6286	34.9405	n/a	postcentral
LFPG38	-67.0225	-27.713	36.4797205757476	-999	LFPG	L	grid	-55.4173	-27.0957	33.4674	n/a	supramarginal
LFPG39	-67.4653	-37.2515	36.0806153019656	-999	LFPG	L	grid	-55.5096	-37.8649	32.6419	n/a	supramarginal
LFPG40	-63.7946	-48.5703	35.2546083093169	-999	LFPG	L	grid	-54.6438	-47.1698	31.229	n/a	supramarginal
LFPG41	-58.4793	23.6021	26.3675787524068	-999	LFPG	L	grid	-55.5735	24.7484	28.879	n/a	parsopercularis
LFPG42	-60.5464	17.243	28.6588993580763	-999	LFPG	L	grid	-56.7265	13.8982	28.0235	n/a	parsopercularis
LFPG43	-64.2586	10.1896	29.5324577316652	-999	LFPG	L	grid	-56.9214	4.51215	26.5805	n/a	precentral
LFPG44	-64.835	0.580851	30.6539409148012	-999	LFPG	L	grid	-58.1542	-5.60175	26.1915	n/a	precentral
LFPG45	-68.6637	-14.5709	27.2822663373871	-999	LFPG	L	grid	-60.4134	-16.2578	25.9782	n/a	postcentral
LFPG46	-69.9835	-27.6899	23.2334659660687	-999	LFPG	L	grid	-60.5398	-26.5659	24.9468	n/a	supramarginal
LFPG47	-69.4128	-34.134	23.8801972896781	-999	LFPG	L	grid	-60.7006	-36.413	23.7097	n/a	supramarginal
LFPG48	-68.4041	-46.8441	20.896481757959	-999	LFPG	L	grid	-59.7664	-46.6401	22.7085	n/a	supramarginal
LFPG49	-62.4416	25.6448	14.5708947049128	-999	LFPG	L	grid	-59.6129	25.7307	18.6323	n/a	parsopercularis
LFPG50	-64.2231	19.0755	15.9842423048108	-999	LFPG	L	grid	-61.9516	15.8111	18.8855	n/a	parsopercularis
LFPG51	-66.2836	11.6623	16.7689617534993	-999	LFPG	L	grid	-62.1124	5.96398	17.6482	n/a	precentral
LFPG52	-67.3221	1.40383	17.0779170334146	-999	LFPG	L	grid	-62.1935	-4.6195	15.9446	n/a	postcentral
LFPG53	-71.2773	-12.2133	15.0594941710788	-999	LFPG	L	grid	-64.4981	-15.0002	16.4037	n/a	postcentral
LFPG54	-70.9578	-27.339	10.0896499686145	-999	LFPG	L	grid	-64.6246	-25.3084	15.3723	n/a	superiortemporal
LFPG55	-71.9472	-34.2863	9.42973601396939	-999	LFPG	L	grid	-64.774	-34.9697	13.257	n/a	superiortemporal
LFPG56	-70.4139	-44.9212	5.91422864562273	-999	LFPG	L	grid	-63.8057	-45.6579	12.4616	n/a	superiortemporal
LFPG57	-62.4497	28.1596	3.89492224888735	-999	LFPG	L	grid	-61.5308	26.875	8.44569	n/a	parstriangularis
LFPG58	-63.1612	18.8546	4.38789385828217	-999	LFPG	L	grid	-63.8241	16.6801	8.02648	n/a	parsopercularis
LFPG59	-67.3985	9.63153	4.77981961622699	-999	LFPG	L	grid	-66.1517	6.94625	7.40142	n/a	precentral
LFPG60	-69.8104	0.0201397	5.23732131332058	-999	LFPG	L	grid	-66.2783	-3.362	6.37013	n/a	precentral
LFPG61	-71.0121	-10.775	2.25414638649919	-999	LFPG	L	grid	-67.511	-13.4758	5.98107	n/a	superiortemporal
LFPG62	-72.3985	-24.2096	0.882955575588171	-999	LFPG	L	grid	-69.1943	-24.3667	5.11044	n/a	superiortemporal
LFPG63	-72.7229	-34.2993	-3.95515575391937	-999	LFPG	L	grid	-69.3892	-33.7527	3.66743	n/a	middletemporal
LFPG64	-72.4032	-43.9787	-5.69504251620199	-999	LFPG	L	grid	-68.4208	-44.4408	2.87205	n/a	middletemporal
LD1	-19.8838	-16.8542	40.4963762105022	-999	LD	L	depth	-19.2722	-14.7735	39.0343	n/a	paracentral
LD2	-20.4605	-17.0787	47.9558905728234	-999	LD	L	depth	-19.4991	-14.415	45.2364	Left Cerebral White Matter	precentral
LD3	-21.1039	-17.5309	52.4238433777591	-999	LD	L	depth	-19.658	-13.9604	49.0097	Left Cerebral White Matter	precentral
LD4	-21.2612	-18.8866	57.9479905046342	-999	LD	L	depth	-19.8394	-13.8772	54.5395	Left Cerebral White Matter	precentral
LIS1	-41.1886	-89.9206	12.6192285282379	-999	LIS	L	strip	-37.2168	-89.1713	19.7926	n/a	lateraloccipital
LIS2	-48.4768	-82.4922	14.0694730788689	-999	LIS	L	strip	-44.9087	-81.3156	21.4216	n/a	inferiorparietal
LIS3	-55.1656	-73.3403	17.4999180988319	-999	LIS	L	strip	-50.9982	-73.1527	22.2176	n/a	inferiorparietal
LIS4	-61.5371	-65.4316	14.0601825126983	-999	LIS	L	strip	-54.978	-63.9949	21.1116	n/a	inferiorparietal
LMS1	-45.2064	-84.5715	24.3782718258799	-999	LMS	L	strip	-37.8769	-83.6512	25.281	n/a	inferiorparietal
LMS2	-51.2843	-74.0822	28.8286958302655	-999	LMS	L	strip	-43.6178	-74.3462	28.7814	n/a	inferiorparietal
LMS3	-56.1568	-64.698	36.2025432305125	-999	LMS	L	strip	-47.6882	-65.656	31.8605	n/a	inferiorparietal
LMS4	-51.4007	-73.408	31.620931321874	-999	LMS	L	strip	-51.7359	-56.5944	33.1832	n/a	inferiorparietal
LSS1	-26.0864	-90.1698	37.2276560051584	-999	LSS	L	strip	-29.3674	-85.6859	32.2865	n/a	superiorparietal
LSS2	-37.1527	-83.7874	38.6131867633901	-999	LSS	L	strip	-32.4904	-76.7353	38.4966	n/a	superiorparietal
LSS3	-41.4738	-75.7012	47.3958416901812	-999	LSS	L	strip	-35.4996	-68.9824	44.4462	n/a	inferiorparietal
LSS4	-44.6213	-68.5249	54.5047393872532	-999	LSS	L	strip	-37.4598	-60.3156	48.4636	n/a	superiorparietal
LFIS1	-53.4324	48.98	-6.97625730881377	-999	LFIS	L	strip	-49.7433	47.7154	-0.0295455	n/a	rostralmiddlefrontal
LFIS2	-56.8237	45.4232	2.01119488637907	-999	LFIS	L	strip	-52.2798	43.2602	8.15578	n/a	parstriangularis
