name	x	y	z	size	group	hemisphere	type
LA1	-16.7821	-0.853916	-22.2178519387556	5.024	LA	L	depth
LA2	-18.5189	-0.648055	-22.45639090024	5.024	LA	L	depth
LA3	-22.5255	-0.339041	-22.7015578971003	5.024	LA	L	depth
LA4	-25.3569	-0.111282	-23.0579955631207	5.024	LA	L	depth
LA5	-29.3443	-0.32303	-23.9519282069342	5.024	LA	L	depth
LA6	-32.9735	-0.33604	-25.163209374892	5.024	LA	L	depth
LA7	-36.6885	-0.579683	-26.3507689927704	5.024	LA	L	depth
LA8	-40.2658	-0.563334	-26.9330211236815	5.024	LA	L	depth
LA9	-43.7358	-0.842912	-26.509951524105	5.024	LA	L	depth
LA10	-47.8596	-1.47717	-26.8274324335631	5.024	LA	L	depth
LA11	-51.2843	-1.40423	-27.3025228105803	5.024	LA	L	depth
LA12	-56.0668	-2.96562	-26.6107207058723	5.024	LA	L	depth
LA13	-60.0154	-2.08757	-26.6845702433427	5.024	LA	L	depth
LA14	-63.3724	-1.47048	-27.112207366497	5.024	LA	L	depth
LB1	-16.6914	-8.37941	-22.681895027765	5.024	LB	L	depth
LB2	-19.7101	-8.04644	-22.1285064061365	5.024	LB	L	depth
LB3	-23.3767	-7.55118	-21.1565586345098	5.024	LB	L	depth
LB4	-26.5743	-7.78743	-21.5529428084308	5.024	LB	L	depth
LB5	-29.9396	-8.40552	-22.423835848861	5.024	LB	L	depth
LB6	-34.0264	-8.92525	-22.9549916519751	5.024	LB	L	depth
LB7	-38.0236	-8.76568	-22.3050795892242	5.024	LB	L	depth
LB8	-42.1121	-9.7089	-21.1629343523873	5.024	LB	L	depth
LB9	-44.8225	-10.0279	-20.4764816350625	5.024	LB	L	depth
LB10	-48.5184	-10.7143	-19.9549567655229	5.024	LB	L	depth
LB11	-52.825	-11.7118	-19.9676330271293	5.024	LB	L	depth
LB12	-57.8295	-12.0346	-19.2329636381928	5.024	LB	L	depth
LB13	-62.2226	-11.2622	-19.0208977961898	5.024	LB	L	depth
LB14	-66.2235	-10.4014	-18.9287110273791	5.024	LB	L	depth
