name	x	y	z	size	group	hemisphere	type	wb.region	ind.region	das.region	stein.region
RZ1	24.6868	61.7492	-6.95635	-999	RZ	R	depth	Right AOrG anterior orbital gyrus	rostralmiddlefrontal	n/a	n/a
RZ2	25.0119	60.6906	-1.80111	-999	RZ	R	depth	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RZ3	25.3208	60.1947	3.55731	-999	RZ	R	depth	Right AOrG anterior orbital gyrus	rostralmiddlefrontal	n/a	n/a
RZ4	25.6948	59.491	10.0202	-999	RZ	R	depth	Right SFG superior frontal gyrus	rostralmiddlefrontal	n/a	n/a
RZ5	27.1279	59.0169	15.3186	-999	RZ	R	depth	Right SFG superior frontal gyrus	rostralmiddlefrontal	n/a	n/a
RZ6	27.4858	58.8578	21.6173	-999	RZ	R	depth	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RZ7	27.7785	58.9067	26.8117	-999	RZ	R	depth	Right SFG superior frontal gyrus	rostralmiddlefrontal	n/a	n/a
RZ8	28.0875	58.411	32.17	-999	RZ	R	depth	n/a	rostralmiddlefrontal	n/a	n/a
RQ1	8.3322	41.2121	8.02128	-999	RQ	R	depth	Right Cerebral White Matter	rostralanteriorcingulate	n/a	n/a
RQ2	13.4397	41.6464	8.692	-999	RQ	R	depth	Right Cerebral White Matter	rostralanteriorcingulate	n/a	n/a
RQ6	33.2753	44.4621	11.0764	-999	RQ	R	depth	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RQ7	38.3827	44.8964	11.7471	-999	RQ	R	depth	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
RQ8	44.02	46.4309	12.0596	-999	RQ	R	depth	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
RQ9	49.1276	46.8653	12.7303	-999	RQ	R	depth	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
RI1	28.8934	-5.64888	-25.388	-999	RI	R	depth	Right PHG parahippocampal gyrus	fusiform	n/a	Right PRC
RI2	31.7365	-4.71628	-24.8199	-999	RI	R	depth	Right AIns anterior insula	fusiform	n/a	n/a
RI3	36.2819	-4.29599	-24.182	-999	RI	R	depth	Right Cerebral White Matter	fusiform	n/a	n/a
RI4	40.1841	-3.1285	-24.6784	-999	RI	R	depth	Right Cerebral White Matter	inferiortemporal	n/a	n/a
