name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
RF1	8.9566	29.1718	-17.44314923991	-999	RF	R	depth	8.836	27.8512	-13.9918	Right Cerebral White Matter	medialorbitofrontal	n/a	n/a
RF2	13.9822	29.5983	-15.0344593075217	-999	RF	R	depth	12.0046	28.6768	-12.7883	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RF3	18.9613	31.0244	-14.7601908750646	-999	RF	R	depth	15.6873	31.0415	-11.8996	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RF4	20.1926	31.5907	-13.647516951211	-999	RF	R	depth	17.8055	31.9256	-11.0651	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RF6	24.2975	34.6442	-12.6748668387204	-999	RF	R	depth	24.1281	35.6679	-9.32364	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RF7	28.2555	34.7771	-11.5268880733165	-999	RF	R	depth	27.8765	37.3992	-7.19457	Right MOrG medial orbital gyrus	lateralorbitofrontal	n/a	n/a
RF8	31.7611	36.5581	-9.59830129247625	-999	RF	R	depth	31.0464	39.7709	-6.2755	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RF10	39.034	41.8173	-3.69540432838511	-999	RF	R	depth	37.9066	43.4619	-4.13492	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RF11	42.6775	42.7035	-1.95374065374068	-999	RF	R	depth	41.0504	44.3318	-3.36103	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
RF12	46.3232	44.1278	-0.428772051452899	-999	RF	R	depth	44.2116	46.2029	-2.49032	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
RF13	49.9576	46.042	0.113791795308362	-999	RF	R	depth	47.8857	48.0705	-1.57817	Right MFG middle frontal gyrus	rostralmiddlefrontal	n/a	n/a
RF14	52.9392	48.6046	1.25680317367998	-999	RF	R	depth	51.0556	50.4472	-0.560398	n/a	rostralmiddlefrontal	n/a	n/a
RA1	18.4512	-1.58431	-27.6231741925389	-999	RA	R	depth	19.858	-3.45574	-21.6061	Right Ent entorhinal area	n/a	n/a	Right Amy
RA2	21.1766	-0.98718	-26.8462803285977	-999	RA	R	depth	22.9523	-2.4974	-21.6914	Right Hippocampus	n/a	n/a	Right Amy
