name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
ASF1	ECOG	V	n/a	n/a	ASF	1000	strip	n/a
ASF2	ECOG	V	n/a	n/a	ASF	1000	strip	n/a
ASF3	ECOG	V	n/a	n/a	ASF	1000	strip	n/a
ASF4	ECOG	V	n/a	n/a	ASF	1000	strip	n/a
ASF5	ECOG	V	n/a	n/a	ASF	1000	strip	n/a
ASF6	ECOG	V	n/a	n/a	ASF	1000	strip	n/a
ASF7	ECOG	V	n/a	n/a	ASF	1000	strip	n/a
ASF8	ECOG	V	n/a	n/a	ASF	1000	strip	n/a
AIF1	ECOG	V	n/a	n/a	AIF	1000	strip	n/a
AIF2	ECOG	V	n/a	n/a	AIF	1000	strip	n/a
AIF3	ECOG	V	n/a	n/a	AIF	1000	strip	n/a
AIF4	ECOG	V	n/a	n/a	AIF	1000	strip	n/a
AIF5	ECOG	V	n/a	n/a	AIF	1000	strip	n/a
AIF6	ECOG	V	n/a	n/a	AIF	1000	strip	n/a
AIF7	ECOG	V	n/a	n/a	AIF	1000	strip	n/a
AIF8	ECOG	V	n/a	n/a	AIF	1000	strip	n/a
LF1	ECOG	V	n/a	n/a	LF	1000	strip	n/a
LF2	ECOG	V	n/a	n/a	LF	1000	strip	n/a
LF3	ECOG	V	n/a	n/a	LF	1000	strip	n/a
LF4	ECOG	V	n/a	n/a	LF	1000	strip	n/a
LF5	ECOG	V	n/a	n/a	LF	1000	strip	n/a
LF6	ECOG	V	n/a	n/a	LF	1000	strip	n/a
PF1	ECOG	V	n/a	n/a	PF	1000	strip	n/a
PF2	ECOG	V	n/a	n/a	PF	1000	strip	n/a
PF3	ECOG	V	n/a	n/a	PF	1000	strip	n/a
PF4	ECOG	V	n/a	n/a	PF	1000	strip	n/a
PF5	ECOG	V	n/a	n/a	PF	1000	strip	n/a
PF6	ECOG	V	n/a	n/a	PF	1000	strip	n/a
ASP1	ECOG	V	n/a	n/a	ASP	1000	strip	n/a
ASP2	ECOG	V	n/a	n/a	ASP	1000	strip	n/a
ASP3	ECOG	V	n/a	n/a	ASP	1000	strip	n/a
ASP4	ECOG	V	n/a	n/a	ASP	1000	strip	n/a
ASP5	ECOG	V	n/a	n/a	ASP	1000	strip	n/a
ASP6	ECOG	V	n/a	n/a	ASP	1000	strip	n/a
AIP1	ECOG	V	n/a	n/a	AIP	1000	strip	n/a
AIP2	ECOG	V	n/a	n/a	AIP	1000	strip	n/a
AIP3	ECOG	V	n/a	n/a	AIP	1000	strip	n/a
AIP4	ECOG	V	n/a	n/a	AIP	1000	strip	n/a
AIP5	ECOG	V	n/a	n/a	AIP	1000	strip	n/a
AIP6	ECOG	V	n/a	n/a	AIP	1000	strip	n/a
IP1	ECOG	V	n/a	n/a	IP	1000	strip	n/a
IP2	ECOG	V	n/a	n/a	IP	1000	strip	n/a
IP3	ECOG	V	n/a	n/a	IP	1000	strip	n/a
IP4	ECOG	V	n/a	n/a	IP	1000	strip	n/a
IP5	ECOG	V	n/a	n/a	IP	1000	strip	n/a
IP6	ECOG	V	n/a	n/a	IP	1000	strip	n/a
PSP1	ECOG	V	n/a	n/a	PSP	1000	strip	n/a
PSP2	ECOG	V	n/a	n/a	PSP	1000	strip	n/a
PSP3	ECOG	V	n/a	n/a	PSP	1000	strip	n/a
PSP4	ECOG	V	n/a	n/a	PSP	1000	strip	n/a
PSP5	ECOG	V	n/a	n/a	PSP	1000	strip	n/a
PSP6	ECOG	V	n/a	n/a	PSP	1000	strip	n/a
PIP1	ECOG	V	n/a	n/a	PIP	1000	strip	n/a
PIP2	ECOG	V	n/a	n/a	PIP	1000	strip	n/a
PIP3	ECOG	V	n/a	n/a	PIP	1000	strip	n/a
PIP4	ECOG	V	n/a	n/a	PIP	1000	strip	n/a
PIP5	ECOG	V	n/a	n/a	PIP	1000	strip	n/a
PIP6	ECOG	V	n/a	n/a	PIP	1000	strip	n/a
PIP7	ECOG	V	n/a	n/a	PIP	1000	strip	n/a
PIP8	ECOG	V	n/a	n/a	PIP	1000	strip	n/a
PST1	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST2	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST3	ECOG	V	n/a	n/a	PST	1000	strip	n/a
PST4	ECOG	V	n/a	n/a	PST	1000	strip	n/a
ALT1	ECOG	V	n/a	n/a	ALT	1000	strip	n/a
ALT2	ECOG	V	n/a	n/a	ALT	1000	strip	n/a
ALT3	ECOG	V	n/a	n/a	ALT	1000	strip	n/a
ALT4	ECOG	V	n/a	n/a	ALT	1000	strip	n/a
ALT5	ECOG	V	n/a	n/a	ALT	1000	strip	n/a
ALT6	ECOG	V	n/a	n/a	ALT	1000	strip	n/a
MFD1	SEEG	V	n/a	n/a	MFD	1000	depth	n/a
MFD2	SEEG	V	n/a	n/a	MFD	1000	depth	n/a
MFD3	SEEG	V	n/a	n/a	MFD	1000	depth	n/a
MFD4	SEEG	V	n/a	n/a	MFD	1000	depth	n/a
MFD5	SEEG	V	n/a	n/a	MFD	1000	depth	n/a
MFD6	SEEG	V	n/a	n/a	MFD	1000	depth	n/a
ACD1	SEEG	V	n/a	n/a	ACD	1000	depth	n/a
ACD2	SEEG	V	n/a	n/a	ACD	1000	depth	n/a
ACD3	SEEG	V	n/a	n/a	ACD	1000	depth	n/a
ACD4	SEEG	V	n/a	n/a	ACD	1000	depth	n/a
MCD1	SEEG	V	n/a	n/a	MCD	1000	depth	n/a
MCD2	SEEG	V	n/a	n/a	MCD	1000	depth	n/a
MCD3	SEEG	V	n/a	n/a	MCD	1000	depth	n/a
MCD4	SEEG	V	n/a	n/a	MCD	1000	depth	n/a
MCD5	SEEG	V	n/a	n/a	MCD	1000	depth	n/a
MCD6	SEEG	V	n/a	n/a	MCD	1000	depth	n/a
PCD1	SEEG	V	n/a	n/a	PCD	1000	depth	n/a
PCD2	SEEG	V	n/a	n/a	PCD	1000	depth	n/a
PCD3	SEEG	V	n/a	n/a	PCD	1000	depth	n/a
PCD4	SEEG	V	n/a	n/a	PCD	1000	depth	n/a
PCD5	SEEG	V	n/a	n/a	PCD	1000	depth	n/a
