name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region
LY1	n/a	n/a	n/a	-999	LY	n/a	depth	-0.77484	13.7696	29.9575	caudalanteriorcingulate
LY2	n/a	n/a	n/a	-999	LY	n/a	depth	-3.44141	14.3444	30.9329	caudalanteriorcingulate
LY3	n/a	n/a	n/a	-999	LY	n/a	depth	-7.74004	15.5788	32.8772	superiorfrontal
LY4	n/a	n/a	n/a	-999	LY	n/a	depth	-14.1881	17.4306	35.7938	superiorfrontal
LY5	n/a	n/a	n/a	-999	LY	n/a	depth	-17.4716	18.9009	37.0228	superiorfrontal
LY6	n/a	n/a	n/a	-999	LY	n/a	depth	-19.7401	20.6073	37.5364	rostralmiddlefrontal
LY7	n/a	n/a	n/a	-999	LY	n/a	depth	-22.9239	21.1398	38.5151	rostralmiddlefrontal
LY8	n/a	n/a	n/a	-999	LY	n/a	depth	-26.7053	22.4166	40.4562	rostralmiddlefrontal
LY9	n/a	n/a	n/a	-999	LY	n/a	depth	-29.989	23.8871	41.6853	rostralmiddlefrontal
LY10	n/a	n/a	n/a	-999	LY	n/a	depth	-33.1534	24.2684	43.3727	rostralmiddlefrontal
LY11	n/a	n/a	n/a	-999	LY	n/a	depth	-36.4369	25.7387	44.6018	caudalmiddlefrontal
LY12	n/a	n/a	n/a	-999	LY	n/a	depth	-39.7011	27.0579	46.5396	caudalmiddlefrontal
LY13	n/a	n/a	n/a	-999	LY	n/a	depth	-42.9348	28.0593	47.6435	rostralmiddlefrontal
LY14	n/a	n/a	n/a	-999	LY	n/a	depth	-45.1034	28.8279	47.9069	rostralmiddlefrontal
LM1	n/a	n/a	n/a	-999	LM	n/a	depth	-16.4972	-0.288011	26.6856	n/a
LM2	n/a	n/a	n/a	-999	LM	n/a	depth	-16.5194	0.0448198	29.7713	posteriorcingulate
LM3	n/a	n/a	n/a	-999	LM	n/a	depth	-16.6414	1.31547	33.1073	caudalmiddlefrontal
LM4	n/a	n/a	n/a	-999	LM	n/a	depth	-16.744	2.43485	37.152	caudalmiddlefrontal
LM5	n/a	n/a	n/a	-999	LM	n/a	depth	-16.7661	2.76767	40.2376	caudalmiddlefrontal
LM6	n/a	n/a	n/a	-999	LM	n/a	depth	-16.8494	3.73575	44.9912	caudalmiddlefrontal
LM7	n/a	n/a	n/a	-999	LM	n/a	depth	-16.9714	5.00641	48.3271	caudalmiddlefrontal
LM8	n/a	n/a	n/a	-999	LM	n/a	depth	-16.9934	5.33923	51.4128	caudalmiddlefrontal
LM9	n/a	n/a	n/a	-999	LM	n/a	depth	-16.1116	7.01212	55.5761	caudalmiddlefrontal
LM10	n/a	n/a	n/a	-999	LM	n/a	depth	-16.1336	7.34494	58.6617	caudalmiddlefrontal
LM11	n/a	n/a	n/a	-999	LM	n/a	depth	-16.2556	8.61559	61.9977	superiorfrontal
LM12	n/a	n/a	n/a	-999	LM	n/a	depth	-17.2735	8.56124	66.5075	superiorfrontal
LM13	n/a	n/a	n/a	-999	LM	n/a	depth	-17.3955	9.83181	69.8435	superiorfrontal
LM14	n/a	n/a	n/a	-999	LM	n/a	depth	-17.4787	10.8	74.597	superiorfrontal
LN1	n/a	n/a	n/a	-999	LN	n/a	depth	-30.5671	9.45374	31.8974	caudalmiddlefrontal
LN2	n/a	n/a	n/a	-999	LN	n/a	depth	-33.6512	9.04855	32.6258	caudalmiddlefrontal
LN3	n/a	n/a	n/a	-999	LN	n/a	depth	-36.616	7.55423	33.8128	caudalmiddlefrontal
LN4	n/a	n/a	n/a	-999	LN	n/a	depth	-40.6348	6.12654	34.2973	caudalmiddlefrontal
LN5	n/a	n/a	n/a	-999	LN	n/a	depth	-43.719	5.72126	35.0257	caudalmiddlefrontal
LN6	n/a	n/a	n/a	-999	LN	n/a	depth	-47.2011	4.18458	36.2158	precentral
LN7	n/a	n/a	n/a	-999	LN	n/a	depth	-51.2199	2.7569	36.7004	precentral
