name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LTG1-LTG9	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG1-LTG2	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG2-LTG10	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG2-LTG3	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG3-LTG11	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG3-LTG4	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG4-LTG12	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG4-LTG5	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG5-LTG6	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG5-LTG13	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG6-LTG7	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG6-LTG14	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG7-LTG15	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG7-LTG8	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG8-LTG16	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG9-LTG17	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG9-LTG10	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG10-LTG18	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG10-LTG11	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG11-LTG12	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG11-LTG19	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG12-LTG20	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG12-LTG13	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG13-LTG21	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG13-LTG14	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG14-LTG22	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG14-LTG15	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG15-LTG23	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG15-LTG16	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG16-LTG24	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG17-LTG25	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG17-LTG18	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG18-LTG26	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG18-LTG19	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG19-LTG20	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG19-LTG27	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG20-LTG21	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG20-LTG28	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG21-LTG29	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG21-LTG22	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG22-LTG30	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG22-LTG23	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG23-LTG31	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG23-LTG24	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG24-LTG32	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG25-LTG26	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG26-LTG27	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG27-LTG28	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG28-LTG29	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG29-LTG30	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG30-LTG31	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LTG31-LTG32	ECOG	V	n/a	n/a	bipolar	LTG	1000	grid	n/a
LSTG1-LSTG7	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG1-LSTG2	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG2-LSTG3	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG2-LSTG8	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG3-LSTG4	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG3-LSTG9	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG4-LSTG5	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG4-LSTG10	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG5-LSTG6	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG5-LSTG11	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG6-LSTG12	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG7-LSTG8	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG8-LSTG9	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG9-LSTG10	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG10-LSTG11	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LSTG11-LSTG12	ECOG	V	n/a	n/a	bipolar	LSTG	1000	grid	n/a
LITG1-LITG2	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG1-LITG7	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG2-LITG8	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG2-LITG3	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG3-LITG9	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG3-LITG4	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG4-LITG5	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG4-LITG10	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG5-LITG6	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG5-LITG11	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG6-LITG12	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG7-LITG8	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG8-LITG9	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG9-LITG10	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG10-LITG11	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
LITG11-LITG12	ECOG	V	n/a	n/a	bipolar	LITG	1000	grid	n/a
RLTG1-RLTG2	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG1-RLTG7	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG2-RLTG8	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG2-RLTG3	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG3-RLTG9	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG3-RLTG4	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG4-RLTG5	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG4-RLTG10	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG5-RLTG11	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG5-RLTG6	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG6-RLTG12	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG7-RLTG8	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG8-RLTG9	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG9-RLTG10	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG10-RLTG11	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RLTG11-RLTG12	ECOG	V	n/a	n/a	bipolar	RLTG	1000	grid	n/a
RSTG1-RSTG7	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG1-RSTG2	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG2-RSTG3	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG2-RSTG8	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG3-RSTG4	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG3-RSTG9	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG4-RSTG5	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG4-RSTG10	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG5-RSTG11	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG5-RSTG6	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG6-RSTG12	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG7-RSTG8	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG8-RSTG9	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG9-RSTG10	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG10-RSTG11	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
RSTG11-RSTG12	ECOG	V	n/a	n/a	bipolar	RSTG	1000	grid	n/a
