name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
GTP1-GTP2	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP1-GTP9	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP2-GTP10	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP2-GTP3	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP3-GTP11	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP3-GTP4	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP4-GTP5	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP4-GTP12	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP5-GTP13	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP5-GTP6	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP6-GTP7	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP6-GTP14	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP7-GTP15	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP7-GTP8	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP8-GTP16	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP9-GTP10	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP10-GTP11	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP11-GTP12	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP12-GTP13	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP13-GTP14	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP14-GTP15	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP15-GTP16	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP17-GTP25	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP17-GTP18	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP18-GTP26	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP18-GTP19	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP19-GTP20	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP19-GTP27	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP20-GTP21	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP20-GTP28	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP21-GTP22	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP21-GTP29	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP22-GTP23	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP22-GTP30	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP23-GTP24	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP23-GTP31	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP24-GTP32	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP25-GTP26	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP26-GTP27	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP27-GTP28	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP28-GTP29	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP29-GTP30	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP30-GTP31	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GTP31-GTP32	ECOG	V	n/a	n/a	bipolar	GTP	1000	grid	n/a
GT33-GT34	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT33-GT41	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT34-GT42	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT34-GT35	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT35-GT36	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT35-GT43	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT36-GT44	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT36-GT37	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT37-GT45	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT37-GT38	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT38-GT39	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT38-GT46	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT39-GT40	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT39-GT47	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
GT40-GT48	ECOG	V	n/a	n/a	bipolar	GT	1000	grid	n/a
