name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
L1D1	-20.3985	2.83361	-18.1720530851456	-999	L1D	L	depth	-17.6089	-0.822817	-16.5216	Left Amygdala	n/a	n/a	Left Amy
L1D2	-25.4135	2.07434	-20.1912274883695	-999	L1D	L	depth	-23.4302	-1.60121	-17.5965	Left Amygdala	n/a	n/a	Left Amy
L1D3	-31.2438	0.797606	-23.1771861709639	-999	L1D	L	depth	-29.3652	-2.53673	-19.3201	Left Amygdala	n/a	n/a	Left Amy
L1D4	-36.5245	0.428388	-24.9167223884978	-999	L1D	L	depth	-34.0903	-3.25372	-20.5693	Left Cerebral White Matter	n/a	n/a	n/a
L1D5	-42.9579	-0.0385861	-24.2488128100453	-999	L1D	L	depth	-40.4596	-4.06283	-21.5572	Left Cerebral White Matter	superiortemporal	n/a	n/a
L1D6	-47.1041	-0.0888356	-23.8488496463482	-999	L1D	L	depth	-45.1848	-4.77982	-22.8064	Left Cerebral White Matter	superiortemporal	n/a	n/a
L1D7	-54.4109	-0.689067	-26.7785177222252	-999	L1D	L	depth	-52.3293	-5.93386	-25.0043	Left MTG middle temporal gyrus	middletemporal	n/a	n/a
L1D8	-62.168	-2.03653	-30.6881281181543	-999	L1D	L	depth	-58.1507	-6.71227	-26.0793	Left MTG middle temporal gyrus	middletemporal	n/a	n/a
L1D9	-66.9962	-2.60612	-31.473660821017	-999	L1D	L	depth	-63.3103	-7.30283	-26.5927	n/a	inferiortemporal	n/a	n/a
L1D10	-72.3063	-3.08773	-33.0578656895141	-999	L1D	L	depth	-69.1316	-8.08123	-27.6677	n/a	inferiortemporal	n/a	n/a
L3D1	-24.0654	-12.4748	-20.4078438085405	-999	L3D	L	depth	-22.5899	-15.4581	-16.6407	Left Hippocampus	n/a	DG	Left DG
L3D2	-29.8966	-12.583	-22.4460537859226	-999	L3D	L	depth	-28.2977	-16.0794	-17.067	Left Hippocampus	n/a	DG	Left DG
L3D3	-34.9291	-12.9499	-22.755575489257	-999	L3D	L	depth	-32.7959	-16.4822	-17.0189	Left Hippocampus	n/a	CA1	Left CA1
