name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region
G1	-43.4246	22.9161	-46.217894276914	-999	G	L	grid	-38.4471	17.7847	-34.1688	middletemporal
G2	-52.0652	18.2423	-43.0736139258648	-999	G	L	grid	-44.2262	10.0751	-30.9311	middletemporal
G3	-58.8268	8.29014	-36.8043499595629	-999	G	L	grid	-47.5758	-0.313684	-26.6454	middletemporal
G4	-62.6121	-1.1412	-33.4342409630413	-999	G	L	grid	-51.5057	-8.77234	-22.3133	middletemporal
G5	-66.904	-11.8061	-26.4492216239734	-999	G	L	grid	-55.4588	-17.8679	-18.0117	middletemporal
G6	-69.6371	-23.1806	-24.1947842607768	-999	G	L	grid	-58.6858	-26.9281	-14.6555	middletemporal
G7	-70.0487	-31.7036	-16.0371479810915	-999	G	L	grid	-60.0636	-36.7373	-10.2049	inferiortemporal
G8	-69.0455	-40.3214	-14.2352504616673	-999	G	L	grid	-58.8431	-46.623	-5.57494	inferiortemporal
G9	-47.7465	25.6282	-36.7019336248385	-999	G	L	grid	-40.1723	22.4825	-26.0933	superiortemporal
G10	-52.4629	20.1786	-27.8915337070044	-999	G	L	grid	-44.0791	14.6609	-21.7308	superiortemporal
G11	-59.7925	12.5898	-23.1117167922805	-999	G	L	grid	-48.0552	4.92832	-17.4595	superiortemporal
G12	-64.33	1.61498	-20.1628658707467	-999	G	L	grid	-51.8857	-2.83866	-14.0874	middletemporal
G13	-70.2472	-7.87299	-17.0485636289405	-999	G	L	grid	-55.8617	-12.5713	-9.81615	middletemporal
G14	-71.4306	-19.8035	-15.4937707104987	-999	G	L	grid	-57.866	-21.7243	-5.37996	middletemporal
G15	-70.838	-28.098	-7.57607755468924	-999	G	L	grid	-58.5179	-31.498	-1.87478	middletemporal
G16	-70.7668	-37.7732	-2.95200028224593	-999	G	L	grid	-57.97	-41.999	2.73478	bankssts
G18	-56.8274	22.0285	-20.5597181308596	-999	G	L	grid	-43.2292	18.6453	-13.5063	superiortemporal
G19	-60.7782	13.6492	-13.7145148475085	-999	G	L	grid	-48.4813	9.58798	-9.29439	superiortemporal
G20	-65.0624	2.82233	-10.7371052354183	-999	G	L	grid	-51.112	1.09102	-4.87262	superiortemporal
G21	-67.6474	-6.56827	-5.48104200254203	-999	G	L	grid	-54.4155	-8.02368	-0.526154	superiortemporal
G22	-69.7819	-17.0383	-4.83878722364017	-999	G	L	grid	-55.0675	-17.7875	3.17741	superiortemporal
