name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LATD1	SEEG	V	n/a	n/a	LATD	500	depth	n/a
LATD2	SEEG	V	n/a	n/a	LATD	500	depth	n/a
LATD3	SEEG	V	n/a	n/a	LATD	500	depth	n/a
LATD4	SEEG	V	n/a	n/a	LATD	500	depth	n/a
LPTD1	SEEG	V	n/a	n/a	LPTD	500	depth	n/a
LPTD2	SEEG	V	n/a	n/a	LPTD	500	depth	n/a
LPTD3	SEEG	V	n/a	n/a	LPTD	500	depth	n/a
LPTD4	SEEG	V	n/a	n/a	LPTD	500	depth	n/a
LAST1	ECOG	V	n/a	n/a	LAST	500	strip	n/a
LAST2	ECOG	V	n/a	n/a	LAST	500	strip	n/a
LAST3	ECOG	V	n/a	n/a	LAST	500	strip	n/a
LAST4	ECOG	V	n/a	n/a	LAST	500	strip	n/a
LPST1	ECOG	V	n/a	n/a	LPST	500	strip	n/a
LPST2	ECOG	V	n/a	n/a	LPST	500	strip	n/a
LPST3	ECOG	V	n/a	n/a	LPST	500	strip	n/a
LPST4	ECOG	V	n/a	n/a	LPST	500	strip	n/a
LITG1	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG2	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG3	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG4	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG5	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG6	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG7	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG8	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG9	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG10	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG11	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG12	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG13	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG14	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG15	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LITG16	ECOG	V	n/a	n/a	LITG	500	grid	n/a
LSTS1	ECOG	V	n/a	n/a	LSTS	500	strip	n/a
LSTS2	ECOG	V	n/a	n/a	LSTS	500	strip	n/a
LSTS3	ECOG	V	n/a	n/a	LSTS	500	strip	n/a
LSTS4	ECOG	V	n/a	n/a	LSTS	500	strip	n/a
LSTS5	ECOG	V	n/a	n/a	LSTS	500	strip	n/a
LSTS6	ECOG	V	n/a	n/a	LSTS	500	strip	n/a
LSTS7	ECOG	V	n/a	n/a	LSTS	500	strip	n/a
LSTS8	ECOG	V	n/a	n/a	LSTS	500	strip	n/a
LPTG1	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG2	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG3	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG4	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG5	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG6	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG7	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG8	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG9	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG10	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
LPTG11	ECOG	V	n/a	n/a	LPTG	500	grid	n/a
