name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
RO1	3.37338	-41.8765	-18.6683374839802	-999	RO	R	depth	13.8613	-12.1192	4.6977	Right Basal Forebrain	n/a	n/a	n/a
RO2	5.30263	-41.6586	-16.0457904437214	-999	RO	R	depth	15.5178	-14.882	5.5614	Right Cerebral White Matter	insula	n/a	n/a
RO3	7.2584	-40.8499	-11.2466552996628	-999	RO	R	depth	16.9609	-19.1808	7.61311	Right Cerebral White Matter	insula	n/a	n/a
RO4	10.5432	-41.676	-5.34903841376911	-999	RO	R	depth	19.7644	-24.5754	9.43056	Right Cerebral White Matter	insula	n/a	n/a
RO5	13.9415	-42.2857	-0.384812075976442	-999	RO	R	depth	21.3747	-28.1709	11.4463	Right Cerebral White Matter	insula	n/a	n/a
RO6	17.433	-43.2481	4.40322674991206	-999	RO	R	depth	22.5298	-33.0439	12.4178	Right Cerebral White Matter	insula	n/a	n/a
RO7	21.0457	-42.2558	8.0327030058446	-999	RO	R	depth	24.1401	-36.6393	14.4336	Right Cerebral White Matter	insula	n/a	n/a
RO8	22.9462	-42.117	12.2435942437706	-999	RO	R	depth	25.4162	-41.6416	16.5212	Right Cerebral White Matter	insula	n/a	n/a
RO9	23.705	-43.3212	16.3049343293698	-999	RO	R	depth	26.5713	-46.5146	17.4928	Right Cerebral White Matter	insula	n/a	n/a
RO10	24.7049	-43.51	19.8379621444932	-999	RO	R	depth	28.1815	-50.11	19.5086	Right Cerebral White Matter	parsopercularis	n/a	n/a
RO11	26.5182	-44.0703	24.503695468265	-999	RO	R	depth	29.3367	-54.9831	20.4801	Right Cerebral White Matter	parsopercularis	n/a	n/a
RO12	28.7981	-42.3171	28.264595919683	-999	RO	R	depth	31.0074	-58.6431	23.0539	Right MFG middle frontal gyrus	parsopercularis	n/a	n/a
RO13	31.018	-41.4209	31.6136055345165	-999	RO	R	depth	32.4967	-62.1092	23.9536	Right Cerebral White Matter	rostralmiddlefrontal	n/a	n/a
RO14	33.7179	-39.0308	36.0660436849659	-999	RO	R	depth	34.282	-67.2423	25.9512	Right Cerebral White Matter	caudalmiddlefrontal	n/a	n/a
RO15	37.3571	-40.5967	43.1658187454111	-999	RO	R	depth	36.4554	-72.377	26.7425	Right Cerebral White Matter	caudalmiddlefrontal	n/a	n/a
RO16	40.4372	-43.4104	47.9759102780725	-999	RO	R	depth	38.0656	-75.9723	28.7584	Right MFG middle frontal gyrus	caudalmiddlefrontal	n/a	n/a
RZ1	3.92579	-27.1955	-20.9445672200085	-999	RZ	R	depth	16.8169	-7.33931	17.7674	Right SCA subcallosal area	medialorbitofrontal	n/a	n/a
RZ2	6.38264	-25.8309	-17.7130438614745	-999	RZ	R	depth	18.5942	-10.2313	19.7472	Right MOrG medial orbital gyrus	medialorbitofrontal	n/a	n/a
RZ3	8.8271	-24.0683	-16.0190714925761	-999	RZ	R	depth	20.7058	-11.7164	21.6552	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RZ4	13.1146	-23.3619	-13.9742568084853	-999	RZ	R	depth	24.238	-14.3619	23.8867	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RZ5	15.511	-23.5222	-13.1782386698659	-999	RZ	R	depth	26.3494	-15.8471	25.7946	Right POrG posterior orbital gyrus	lateralorbitofrontal	n/a	n/a
RZ6	18.4885	-23.7879	-11.2486545883765	-999	RZ	R	depth	29.145	-19.0006	27.5944	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RZ7	21.1881	-23.2547	-9.89208340059364	-999	RZ	R	depth	32.1077	-21.4506	29.358	Right POrG posterior orbital gyrus	lateralorbitofrontal	n/a	n/a
RZ8	23.1203	-22.0849	-8.88748280172806	-999	RZ	R	depth	34.2192	-22.9358	31.266	Right POrG posterior orbital gyrus	lateralorbitofrontal	n/a	n/a
RZ9	26.0817	-20.7027	-7.59823154755254	-999	RZ	R	depth	37.3488	-24.6824	32.9937	Right AOrG anterior orbital gyrus	lateralorbitofrontal	n/a	n/a
RZ10	28.9554	-19.4914	-5.06352500297826	-999	RZ	R	depth	40.3115	-27.1326	34.7574	Right Cerebral White Matter	parsorbitalis	n/a	n/a
RZ11	31.2744	-18.4167	-1.31096268114251	-999	RZ	R	depth	42.0888	-30.0246	36.7373	Right Cerebral White Matter	parsorbitalis	n/a	n/a
RZ12	34.6065	-17.4886	-0.478863999407386	-999	RZ	R	depth	45.6066	-31.7727	37.2588	Right Cerebral White Matter	parsorbitalis	n/a	n/a
RZ13	37.6016	-16.3059	1.29339955543548	-999	RZ	R	depth	48.5693	-34.2229	39.0225	Right Cerebral White Matter	parstriangularis	n/a	n/a
RZ14	41.5075	-13.6357	2.6870271891317	-999	RZ	R	depth	51.8806	-36.1635	42.4244	Right TrIFG triangular part of the inferior frontal gyrus	parstriangularis	n/a	n/a
RZ15	43.9712	-12.3163	5.24453329272686	-999	RZ	R	depth	53.6578	-39.0554	44.4042	Right TrIFG triangular part of the inferior frontal gyrus	parstriangularis	n/a	n/a
RZ16	46.9977	-10.5729	5.88688045498723	-999	RZ	R	depth	56.6666	-40.6728	45.0158	n/a	parstriangularis	n/a	n/a
RG1	1.85769	-27.6959	-18.0591960049749	-999	RG	R	depth	14.1121	-9.62995	18.2715	Right Cerebral White Matter	medialorbitofrontal	n/a	n/a
RG2	5.40301	-27.3052	-15.9926338664432	-999	RG	R	depth	16.9537	-11.9508	18.9191	Right SCA subcallosal area	medialorbitofrontal	n/a	n/a
RG3	9.51652	-26.2041	-12.6018856267897	-999	RG	R	depth	19.7493	-15.1044	20.7188	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RG4	13.6039	-27.0779	-11.9110959024282	-999	RG	R	depth	23.2672	-16.8525	21.2404	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
RG5	16.9685	-27.614	-10.7460410652023	-999	RG	R	depth	26.2903	-19.3673	23.5622	Right Cerebral White Matter	lateralorbitofrontal	n/a	n/a
