name	x	y	z	size	group	hemisphere	type
LB1	-18.4439	-17.4975	-16.7123	-999	LB	L	depth
LB2	-23.5682	-16.9128	-16.9989	-999	LB	L	depth
LB3	-28.6927	-16.328	-17.2856	-999	LB	L	depth
LB5	-38.9714	-14.6464	-18.0236	-999	LB	L	depth
LB8	-54.3746	-12.3802	-19.0485	-999	LB	L	depth
LB10	-64.1467	-10.6546	-19.7909	-999	LB	L	depth
LI1	-27.1845	1.70501	-32.2464	-999	LI	L	depth
LI2	-31.3239	2.8329	-31.3734	-999	LI	L	depth
LI3	-35.3898	2.70876	-30.7547	-999	LI	L	depth
LI6	-47.7362	4.89734	-29.7233	-999	LI	L	depth
LI7	-51.8319	5.28544	-29.2695	-999	LI	L	depth
LI8	-55.9574	6.18567	-28.9807	-999	LI	L	depth
LT1	-34.4755	-4.76024	-2.70201	-999	LT	L	depth
LT2	-37.0079	-4.98009	-2.68038	-999	LT	L	depth
LT3	-40.6287	-3.97889	-3.72894	-999	LT	L	depth
LT5	-46.2755	-3.15361	-4.76031	-999	LT	L	depth
LT6	-49.8367	-3.17682	-5.47904	-999	LT	L	depth
LT8	-55.5133	-1.8393	-6.67519	-999	LT	L	depth
LT9	-58.6117	-1.07874	-6.97913	-999	LT	L	depth
LT10	-61.6664	-1.05798	-7.70221	-999	LT	L	depth
LR1	-28.426	30.9769	6.3674	-999	LR	L	depth
LR2	-31.018	31.7802	6.03363	-999	LR	L	depth
LR3	-34.6527	33.0071	5.53089	-999	LR	L	depth
LR4	-38.2874	34.234	5.02814	-999	LR	L	depth
LR5	-41.922	35.4608	4.5253	-999	LR	L	depth
LR6	-45.0066	35.9897	3.55553	-999	LR	L	depth
LR8	-52.276	38.4435	2.54991	-999	LR	L	depth
LQ1	-2.79738	36.6477	9.26779	-999	LQ	L	depth
LQ2	-5.89399	37.3563	10.3981	-999	LQ	L	depth
LQ3	-9.49711	38.021	11.533	-999	LQ	L	depth
LQ5	-16.1968	39.3944	13.7982	-999	LQ	L	depth
LQ6	-19.8	40.0592	14.933	-999	LQ	L	depth
LQ7	-22.8966	40.7679	16.0633	-999	LQ	L	depth
LQ8	-26.4997	41.4327	17.1982	-999	LQ	L	depth
LQ9	-30.1028	42.0973	18.333	-999	LQ	L	depth
LQ10	-33.1994	42.8061	19.4633	-999	LQ	L	depth
LQ11	-36.8025	43.4708	20.5981	-999	LQ	L	depth
LQ12	-39.8992	44.1795	21.7285	-999	LQ	L	depth
LQ13	-43.5023	44.8442	22.8634	-999	LQ	L	depth
LO1	17.8986	40.1674	-21.3656	-999	LO	R	depth
LO2	13.7592	41.2951	-20.4928	-999	LO	R	depth
LO4	5.01773	42.7672	-19.1617	-999	LO	R	depth
LO5	-0.12069	43.5795	-18.8642	-999	LO	L	depth
LO7	-8.83245	44.5393	-17.3683	-999	LO	L	depth
LO9	-18.0805	45.9672	-16.0329	-999	LO	L	depth
LO11	-26.822	47.4393	-14.7019	-999	LO	L	depth
LO12	-31.4539	48.2956	-14.4087	-999	LO	L	depth
LO14	-41.2084	49.6796	-13.0691	-999	LO	L	depth
LO15	-45.3179	50.2952	-12.0313	-999	LO	L	depth
LO16	-50.4563	51.1076	-11.7338	-999	LO	L	depth
LF1	-27.2942	55.5204	-14.6746	-999	LF	L	depth
LF2	-27.2765	55.1789	-12.5925	-999	LF	L	depth
LF4	-27.8018	55.3054	-4.75439	-999	LF	L	depth
LF5	-27.812	55.4252	-1.38349	-999	LF	L	depth
LF6	-28.299	54.999	2.35878	-999	LF	L	depth
LF7	-28.3231	55.3585	6.55911	-999	LF	L	depth
LF8	-28.3335	55.4878	10.1187	-999	LF	L	depth
LF9	-28.8344	55.2919	14.5016	-999	LF	L	depth
LF10	-28.8446	55.4211	18.0613	-999	LF	L	depth
LF11	-28.8548	55.5503	21.6208	-999	LF	L	depth
LF12	-29.3716	55.6356	25.1851	-999	LF	L	depth
LY1	-36.207	16.3666	-13.4589	-999	LY	L	depth
LY2	-36.853	18.5988	-7.61375	-999	LY	L	depth
LY4	-37.6544	23.4133	3.75028	-999	LY	L	depth
LY5	-37.7798	25.4873	9.51632	-999	LY	L	depth
LY6	-37.9194	27.7918	15.9229	-999	LY	L	depth
LY7	-38.5654	30.0524	22.3339	-999	LY	L	depth
LY8	-38.6909	32.1264	28.0999	-999	LY	L	depth
LY9	-39.3369	34.3871	34.511	-999	LY	L	depth
LM1	-7.00527	-5.21818	56.1498	-999	LM	L	depth
LM2	-10.1177	-4.22841	56.4615	-999	LM	L	depth
LM5	-20.4819	-1.11642	58.0461	-999	LM	L	depth
LM6	-23.6083	0.103782	58.9983	-999	LM	L	depth
LM7	-27.2272	1.0495	59.3139	-999	LM	L	depth
LM9	-33.9724	3.21545	60.5819	-999	LM	L	depth
LM10	-37.5914	4.16142	60.8986	-999	LM	L	depth
RB1	27.2142	-14.7923	-17.3558	-999	RB	R	depth
RB2	30.7894	-14.9967	-17.2212	-999	RB	R	depth
RB3	34.3944	-15.7133	-16.9215	-999	RB	R	depth
RB5	41.0681	-16.6783	-16.483	-999	RB	R	depth
RB8	51.8672	-18.5435	-16.3333	-999	RB	R	depth
RB10	59.0771	-19.9767	-15.7342	-999	RB	R	depth
RB11	62.6662	-20.4088	-16.1836	-999	RB	R	depth
RB12	66.7777	-21.0814	-15.8883	-999	RB	R	depth
RI1	21.731	0.974956	-35.0116	-999	RI	R	depth
RI2	25.769	1.55435	-34.462	-999	RI	R	depth
RI4	33.8609	2.4285	-32.6141	-999	RI	R	depth
RI5	37.8989	3.00786	-32.0646	-999	RI	R	depth
RI7	45.9609	4.39428	-30.3815	-999	RI	R	depth
RI8	49.999	4.97364	-29.832	-999	RI	R	depth
RI10	58.0908	5.84781	-27.984	-999	RI	R	depth
RQ1	0.278734	45.112	-0.0929132	-999	RQ	R	depth
RQ2	2.82698	45.0507	0.7032	-999	RQ	R	depth
RQ4	9.47279	44.5485	2.46018	-999	RQ	R	depth
RQ13	41.5679	44.0461	9.08185	-999	RQ	R	depth
RQ14	45.1292	44.0727	9.86897	-999	RQ	R	depth
RQ15	48.6904	44.0994	10.6561	-999	RQ	R	depth
RQ16	52.7582	44.17	11.4388	-999	RQ	R	depth
RR1	35.3047	3.11305	9.45733	-999	RR	R	depth
RR2	37.8687	2.77067	11.0723	-999	RR	R	depth
RR3	41.4458	2.51624	12.6782	-999	RR	R	depth
RR7	53.7002	1.78351	20.4014	-999	RR	R	depth
RR8	56.7708	1.48512	22.0119	-999	RR	R	depth
RR10	63.4341	0.651192	26.0472	-999	RR	R	depth
RY1	39.4679	19.1616	-3.03303	-999	RY	R	depth
RY2	37.7932	21.6054	2.37131	-999	RY	R	depth
RY3	36.0887	24.5707	7.79455	-999	RY	R	depth
RY6	31.9881	33.5545	24.055	-999	RY	R	depth
RY7	30.2696	36.7501	30.1189	-999	RY	R	depth
RY8	29.0716	39.7593	35.5375	-999	RY	R	depth
RZ1	37.1115	-10.3573	6.96108	-999	RZ	R	depth
RZ2	36.0148	-9.06246	10.8141	-999	RZ	R	depth
RZ3	34.9479	-8.27919	14.8453	-999	RZ	R	depth
RZ4	33.8513	-6.98438	18.6984	-999	RZ	R	depth
RZ9	27.9365	-1.85848	39.143	-999	RZ	R	depth
RZ11	25.8027	-0.291955	47.2053	-999	RZ	R	depth
RZ13	23.639	1.78622	55.0899	-999	RZ	R	depth
RZ14	22.5722	2.56933	59.1204	-999	RZ	R	depth
RZ15	21.4754	3.86423	62.9738	-999	RZ	R	depth
RM1	2.46838	6.96542	50.6807	-999	RM	R	depth
RM2	5.4181	8.76376	50.1191	-999	RM	R	depth
RM4	11.8101	12.6349	49.632	-999	RM	R	depth
RM8	24.0738	20.5635	49.303	-999	RM	R	depth
RM9	27.4863	23.1479	49.1993	-999	RM	R	depth
RM11	33.8644	27.2494	49.3528	-999	RM	R	depth
RM12	37.3067	29.3221	49.4268	-999	RM	R	depth
