name	x	y	z	size	group	hemisphere	type
RC1	30.2106	-28.9597	-5.71496	-999	RC	R	depth
RC2	34.3041	-27.5728	-4.96662	-999	RC	R	depth
RC3	37.3615	-25.3892	-5.39581	-999	RC	R	depth
RC4	41.9671	-23.1625	-5.80898	-999	RC	R	depth
RC6	48.5726	-18.0333	-5.84112	-999	RC	R	depth
RC7	52.662	-15.8209	-6.25964	-999	RC	R	depth
RC8	55.7194	-13.6374	-6.68883	-999	RC	R	depth
RC9	60.325	-11.4106	-7.10201	-999	RC	R	depth
RC10	63.3569	-8.47945	-6.71031	-999	RC	R	depth
RB1	34.0771	-10.4827	-16.6078	-999	RB	R	depth
RB2	36.1413	-10.4252	-16.5865	-999	RB	R	depth
RB3	40.7861	-10.2958	-16.5384	-999	RB	R	depth
RB6	52.6754	-11.0138	-16.1847	-999	RB	R	depth
RB7	55.772	-10.9275	-16.1526	-999	RB	R	depth
RB8	60.4323	-11.0214	-17.0408	-999	RB	R	depth
RB9	64.5609	-10.9064	-16.998	-999	RB	R	depth
RB10	68.1735	-10.8058	-16.9606	-999	RB	R	depth
RI1	24.9593	12.6551	-29.7238	-999	RI	R	depth
RI2	28.0401	12.9646	-28.7555	-999	RI	R	depth
RI3	32.7044	12.0454	-28.4768	-999	RI	R	depth
RI4	35.7853	12.3548	-27.5084	-999	RI	R	depth
RI5	40.4144	12.7074	-26.5242	-999	RI	R	depth
RI6	43.5304	11.745	-26.2614	-999	RI	R	depth
RI7	48.1594	12.0977	-25.2771	-999	RI	R	depth
RI8	51.2404	12.4072	-24.3088	-999	RI	R	depth
RI9	55.3534	12.7454	-23.3298	-999	RI	R	depth
RI10	58.9659	12.8461	-23.2924	-999	RI	R	depth
LO1	14.3053	49.8904	-25.2656	-999	LO	R	depth
LO2	11.2088	49.8042	-25.2977	-999	LO	R	depth
LO3	6.54844	49.898	-24.4096	-999	LO	R	depth
LO4	2.38462	51.0549	-23.7468	-999	LO	R	depth
LO5	-2.27571	51.1488	-22.8586	-999	LO	L	depth
LO6	-6.41995	51.257	-21.9652	-999	LO	L	depth
LO7	-9.53205	51.394	-21.0611	-999	LO	L	depth
LO10	-23.0322	52.9619	-17.6858	-999	LO	L	depth
LO11	-26.1288	52.8757	-17.7179	-999	LO	L	depth
LO12	-31.8212	52.9408	-16.8405	-999	LO	L	depth
LO13	-34.9528	54.1264	-16.167	-999	LO	L	depth
LO14	-40.6453	54.1915	-15.2896	-999	LO	L	depth
