name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RFA1	ECOG	V	n/a	n/a	RFA	1000	strip	n/a
RFA2	ECOG	V	n/a	n/a	RFA	1000	strip	n/a
RFA3	ECOG	V	n/a	n/a	RFA	1000	strip	n/a
RFA4	ECOG	V	n/a	n/a	RFA	1000	strip	n/a
RFA5	ECOG	V	n/a	n/a	RFA	1000	strip	n/a
RFA6	ECOG	V	n/a	n/a	RFA	1000	strip	n/a
RFA7	ECOG	V	n/a	n/a	RFA	1000	strip	n/a
RFA8	ECOG	V	n/a	n/a	RFA	1000	strip	n/a
RFB1	ECOG	V	n/a	n/a	RFB	1000	strip	n/a
RFB2	ECOG	V	n/a	n/a	RFB	1000	strip	n/a
RFB3	ECOG	V	n/a	n/a	RFB	1000	strip	n/a
RFB4	ECOG	V	n/a	n/a	RFB	1000	strip	n/a
RFB5	ECOG	V	n/a	n/a	RFB	1000	strip	n/a
RFB6	ECOG	V	n/a	n/a	RFB	1000	strip	n/a
RFB7	ECOG	V	n/a	n/a	RFB	1000	strip	n/a
RFB8	ECOG	V	n/a	n/a	RFB	1000	strip	n/a
RFC1	ECOG	V	n/a	n/a	RFC	1000	strip	n/a
RFC2	ECOG	V	n/a	n/a	RFC	1000	strip	n/a
RFC3	ECOG	V	n/a	n/a	RFC	1000	strip	n/a
RFC4	ECOG	V	n/a	n/a	RFC	1000	strip	n/a
RFC5	ECOG	V	n/a	n/a	RFC	1000	strip	n/a
RFC6	ECOG	V	n/a	n/a	RFC	1000	strip	n/a
RFC7	ECOG	V	n/a	n/a	RFC	1000	strip	n/a
RFC8	ECOG	V	n/a	n/a	RFC	1000	strip	n/a
RFD1	ECOG	V	n/a	n/a	RFD	1000	strip	n/a
RFD2	ECOG	V	n/a	n/a	RFD	1000	strip	n/a
RFD3	ECOG	V	n/a	n/a	RFD	1000	strip	n/a
RFD4	ECOG	V	n/a	n/a	RFD	1000	strip	n/a
RFD5	ECOG	V	n/a	n/a	RFD	1000	strip	n/a
RFD6	ECOG	V	n/a	n/a	RFD	1000	strip	n/a
RFD7	ECOG	V	n/a	n/a	RFD	1000	strip	n/a
RFD8	ECOG	V	n/a	n/a	RFD	1000	strip	n/a
RFE1	ECOG	V	n/a	n/a	RFE	1000	strip	n/a
RFE2	ECOG	V	n/a	n/a	RFE	1000	strip	n/a
RFE3	ECOG	V	n/a	n/a	RFE	1000	strip	n/a
RFE4	ECOG	V	n/a	n/a	RFE	1000	strip	n/a
RFE5	ECOG	V	n/a	n/a	RFE	1000	strip	n/a
RFE6	ECOG	V	n/a	n/a	RFE	1000	strip	n/a
RFE7	ECOG	V	n/a	n/a	RFE	1000	strip	n/a
RFE8	ECOG	V	n/a	n/a	RFE	1000	strip	n/a
RAT1	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT2	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
RAT3	ECOG	V	n/a	n/a	RAT	1000	strip	n/a
