name	x	y	z	size	group	hemisphere	type
L9ST1	-40.988	-50.1327	17.1777779933569	-999	LST	L	depth
L9ST2	-43.2539	-50.1081	16.6104739037029	-999	LST	L	depth
L9ST3	-47.1805	-49.5102	16.7334676859411	-999	LST	L	depth
L9ST4	-51.0485	-49.6153	16.0445144773256	-999	LST	L	depth
L9ST5	-53.9666	-49.9348	15.5186265140884	-999	LST	L	depth
L9ST6	-58.3448	-48.9618	15.9717250677662	-999	LST	L	depth
L9ST7	-61.13	-49.2853	15.3668688188591	-999	LST	L	depth
L9ST8	-64.901	-49.2799	15.4878594452324	-999	LST	L	depth
L7ST1	-40.8357	-44.899	8.68294205878676	-999	LST	L	depth
L7ST2	-43.5166	-43.8753	9.61960290771562	-999	LST	L	depth
L7ST3	-47.8509	-43.768	9.70616709179063	-999	LST	L	depth
L7ST4	-51.0804	-44.0111	8.88288350182107	-999	LST	L	depth
L7ST5	-54.1236	-45.2373	9.54650518557362	-999	LST	L	depth
L7ST6	-57.2931	-45.6414	9.02931955549078	-999	LST	L	depth
L7ST7	-61.7583	-45.1108	8.63743217661009	-999	LST	L	depth
L7ST8	-64.5347	-45.0812	10.8658420067636	-999	LST	L	depth
L3ST1	-41.3932	-34.8746	-3.48549157675117	-999	LST	L	depth
L3ST2	-42.7572	-34.6386	-3.6521376638101	-999	LST	L	depth
L3ST3	-46.1071	-32.2325	-0.274883214778348	-999	LST	L	depth
L3ST4	-50.4765	-31.2762	0.48271610566974	-999	LST	L	depth
L3ST5	-54.9325	-32.1361	-0.67025876276837	-999	LST	L	depth
L3ST6	-58.4495	-32.2076	-2.1487165573452	-999	LST	L	depth
L3ST7	-63.7704	-31.9882	-4.93095908444709	-999	LST	L	depth
L3ST8	-67.1158	-32.2576	-5.77987726390804	-999	LST	L	depth
L1MT1	-39.876	-48.1545	-10.7943071310156	-999	LMT	L	depth
L1MT2	-42.2628	-47.5176	-12.0350575945219	-999	LMT	L	depth
L1MT3	-45.0879	-46.136	-12.1503768435758	-999	LMT	L	depth
L1MT4	-48.2504	-44.0964	-10.2584100124982	-999	LMT	L	depth
L1MT5	-53.0288	-43.0866	-10.1813031672165	-999	LMT	L	depth
L1MT6	-57.5336	-42.6364	-9.48641714096145	-999	LMT	L	depth
L1MT7	-62.2478	-41.6818	-9.05245750618869	-999	LMT	L	depth
L1MT8	-68.7419	-41.5119	-9.01787575378949	-999	LMT	L	depth
L3AG1	-34.7863	-50.8008	25.4832632313161	-999	LAG	L	depth
L3AG2	-36.9369	-51.6501	25.63174410261	-999	LAG	L	depth
L3AG3	-40.1426	-53.5128	25.8191490219054	-999	LAG	L	depth
L3AG4	-44.6333	-56.2404	24.6118893616276	-999	LAG	L	depth
L3AG5	-47.511	-57.9194	23.2229713643163	-999	LAG	L	depth
L3AG6	-50.3856	-60.1135	22.1005992295155	-999	LAG	L	depth
L3AG7	-53.0233	-61.3094	21.6996376268396	-999	LAG	L	depth
L3AG8	-55.8882	-63.3699	21.8906840407071	-999	LAG	L	depth
L1AG1	-38.7616	-51.0638	-3.71523200991423	-999	LAG	L	depth
L1AG2	-40.2524	-53.0218	-2.91590461203185	-999	LAG	L	depth
L1AG3	-42.5283	-55.8691	-4.98083070413917	-999	LAG	L	depth
L1AG4	-44.7512	-55.9474	-3.5514665156948	-999	LAG	L	depth
L1AG5	-47.8203	-57.7285	-2.46815380484681	-999	LAG	L	depth
L1AG6	-52.5003	-59.0053	1.12417806838058	-999	LAG	L	depth
L1AG7	-56.8683	-59.2664	3.04974718117249	-999	LAG	L	depth
L1AG8	-60.6384	-61.5867	3.36613294159787	-999	LAG	L	depth
LE1	-26.4849	-19.2488	-28.2360947908068	-999	LE	L	depth
LE2	-29.6916	-19.901	-29.339548247728	-999	LE	L	depth
LE3	-33.7534	-21.3434	-29.1798708588514	-999	LE	L	depth
