name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LAMYD1	SEEG	V	n/a	n/a	LAMYD	999	depth	n/a
LAMYD3	SEEG	V	n/a	n/a	LAMYD	999	depth	n/a
LAMYD5	SEEG	V	n/a	n/a	LAMYD	999	depth	n/a
LAMYD7	SEEG	V	n/a	n/a	LAMYD	999	depth	n/a
LAMYD9	SEEG	V	n/a	n/a	LAMYD	999	depth	n/a
LHCD1	SEEG	V	n/a	n/a	LHCD	999	depth	n/a
LHCD3	SEEG	V	n/a	n/a	LHCD	999	depth	n/a
LHCD5	SEEG	V	n/a	n/a	LHCD	999	depth	n/a
LHCD7	SEEG	V	n/a	n/a	LHCD	999	depth	n/a
LHCD9	SEEG	V	n/a	n/a	LHCD	999	depth	n/a
LROI1D1	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI1D3	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI1D5	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI1D7	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI1D9	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI2D1	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI2D3	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI2D5	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI2D7	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI3D1	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI3D3	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI3D5	SEEG	V	n/a	n/a	LROID	999	depth	n/a
LROI3D7	SEEG	V	n/a	n/a	LROID	999	depth	n/a
RFROID1	SEEG	V	n/a	n/a	RFROID	999	depth	n/a
RFROID3	SEEG	V	n/a	n/a	RFROID	999	depth	n/a
RFROID5	SEEG	V	n/a	n/a	RFROID	999	depth	n/a
RFROID7	SEEG	V	n/a	n/a	RFROID	999	depth	n/a
RFROID9	SEEG	V	n/a	n/a	RFROID	999	depth	n/a
RAMYD1	SEEG	V	n/a	n/a	RAMYD	999	depth	n/a
RAMYD3	SEEG	V	n/a	n/a	RAMYD	999	depth	n/a
RAMYD5	SEEG	V	n/a	n/a	RAMYD	999	depth	n/a
RAMYD7	SEEG	V	n/a	n/a	RAMYD	999	depth	n/a
RAMYD9	SEEG	V	n/a	n/a	RAMYD	999	depth	n/a
RAHCD1	SEEG	V	n/a	n/a	RAHCD	999	depth	n/a
