name	x	y	z	size	group	hemisphere	type
LB1	-32.1951	-12.7866	-23.8906043807881	6.184	LB	L	depth
LB2	-36.6505	-12.7848	-24.1751880758526	6.184	LB	L	depth
LB7	-56.8753	-15.8047	-23.7322966316564	6.184	LB	L	depth
LB9	-65.3508	-13.8202	-20.2800379800368	6.184	LB	L	depth
LC1	-29.6093	-35.1408	-5.31456175453895	6.184	LC	L	depth
LC2	-34.5508	-33.6279	-8.3716852450111	6.184	LC	L	depth
LC7	-59.7154	-27.9088	-16.4858435859842	6.184	LC	L	depth
LC9	-70.1969	-26.998	-14.7456227252074	6.184	LC	L	depth
LI1	-27.6369	1.09789	-28.7516455132087	6.184	LI	L	depth
LI2	-30.9779	0.17671	-30.9288286506528	6.184	LI	L	depth
LI3	-34.1012	-0.613259	-31.8569245349665	6.184	LI	L	depth
LI8	-51.4421	-1.15897	-25.7297518407351	6.184	LI	L	depth
LI10	-60.803	-1.19908	-23.5678984032678	6.184	LI	L	depth
LF1	-20.2107	-44.0506	-5.03611882470275	6.184	LF	L	depth
LF2	-25.7721	-44.7239	-5.83209140924455	6.184	LF	L	depth
LF7	-50.9327	-39.8442	-6.47236939956054	6.184	LF	L	depth
LF9	-64.0771	-39.0648	-1.10429470600337	6.184	LF	L	depth
LF10	-69.9099	-40.2981	-1.48171792177639	6.184	LF	L	depth
LU2	-39.5062	-33.468	9.89167806028676	5.024	LU	L	depth
LU3	-42.3547	-33.7118	9.7888160450113	5.024	LU	L	depth
LU8	-64.0884	-39.0364	12.1669703565822	5.024	LU	L	depth
LU9	-67.0581	-39.8116	12.0105087962969	5.024	LU	L	depth
LL1	-6.38331	-79.1781	-1.47144569920243	5.024	LL	L	depth
LL2	-9.17985	-77.9615	-1.9061691111387	5.024	LL	L	depth
LL3	-13.3925	-77.8212	-2.32105749787754	5.024	LL	L	depth
LL6	-25.7928	-78.699	-2.20998062205956	5.024	LL	L	depth
LL7	-28.5937	-77.7573	-3.30858655467188	5.024	LL	L	depth
LL8	-31.4117	-77.7067	-4.46401144257977	5.024	LL	L	depth
LL9	-34.5868	-77.6475	-4.44884097067748	5.024	LL	L	depth
LL11	-41.0349	-76.6624	-1.8015403075851	5.024	LL	L	depth
LL12	-43.765	-75.7069	-2.12066215594553	5.024	LL	L	depth
LL15	-52.9726	-70.3106	-6.52185990529002	5.024	LL	L	depth
LL16	-55.8958	-68.9262	-6.94188086724388	5.024	LL	L	depth
LV1	-8.95611	-93.7532	2.16846133222055	5.024	LV	L	depth
LV2	-11.8018	-94.8392	1.56894986089622	5.024	LV	L	depth
LV3	-15.2734	-94.6113	1.37106654552181	5.024	LV	L	depth
LV4	-18.7606	-94.9428	0.605800046887653	5.024	LV	L	depth
LV5	-22.2739	-94.1667	1.15166361273272	5.024	LV	L	depth
LV6	-25.6838	-93.8399	1.06113335851607	5.024	LV	L	depth
LV7	-28.9726	-92.8081	2.6099682391332	5.024	LV	L	depth
LV8	-32.2325	-91.639	1.94964449532387	5.024	LV	L	depth
LV9	-35.2298	-91.548	0.858435824946555	5.024	LV	L	depth
LV11	-39.9178	-88.3295	1.92030377018692	5.024	LV	L	depth
LV12	-41.9029	-86.9491	1.41499485191637	5.024	LV	L	depth
LZ1	-6.40454	-87.1067	17.5976541749763	5.024	LZ	L	depth
LZ2	-9.05588	-86.6845	18.4952225394075	5.024	LZ	L	depth
LZ3	-13.5233	-86.0437	18.3906265592365	5.024	LZ	L	depth
LZ5	-20.6978	-84.6544	19.5676639205314	5.024	LZ	L	depth
LZ7	-26.1622	-79.0189	17.9650527479237	5.024	LZ	L	depth
LZ8	-29.6111	-77.1903	17.4691824998218	5.024	LZ	L	depth
LZ9	-32.6522	-77.4299	17.1838532361925	5.024	LZ	L	depth
LZ11	-36.5289	-77.6943	19.8516986640172	5.024	LZ	L	depth
LZ12	-39.4443	-77.5906	20.087785049608	5.024	LZ	L	depth
LZ13	-42.4813	-75.959	20.3312182278608	5.024	LZ	L	depth
LZ15	-48.9051	-71.7328	21.4402003168742	5.024	LZ	L	depth
LZ16	-51.869	-69.8401	22.9085985309226	5.024	LZ	L	depth
LY1	-6.40642	-83.6525	25.3520007591103	5.024	LY	L	depth
LY2	-9.22515	-84.1641	27.0359108508684	5.024	LY	L	depth
LY3	-13.225	-84.9629	28.1680239097673	5.024	LY	L	depth
LY4	-17.9483	-84.6782	28.3469001981046	5.024	LY	L	depth
LY5	-21.5416	-82.5119	28.4680207118477	5.024	LY	L	depth
LY6	-26.0777	-82.3594	26.9619725019498	5.024	LY	L	depth
LY7	-29.2401	-81.5325	27.4610395688144	5.024	LY	L	depth
LY9	-34.7508	-82.108	27.0294621091783	5.024	LY	L	depth
LY12	-41.6259	-83.2008	27.1960362282483	5.024	LY	L	depth
LY13	-45.0384	-82.9769	27.0136758674692	5.024	LY	L	depth
LP1	-5.36768	-69.3479	47.8875714328676	5.024	LP	L	depth
LP2	-8.42277	-69.9683	48.9921238337078	5.024	LP	L	depth
LP5	-19.4766	-69.426	49.8617425148399	5.024	LP	L	depth
LP6	-25.3571	-69.0384	48.6731485280372	5.024	LP	L	depth
LP9	-39.3177	-70.4882	45.512042943902	5.024	LP	L	depth
LP12	-45.1089	-70.7633	44.7572290668994	5.024	LP	L	depth
LP14	-50.696	-68.8508	43.5369347373533	5.024	LP	L	depth
LX1	-1.56976	-47.6495	34.5042335098089	5.024	LX	L	depth
LX2	-4.93256	-47.7424	31.938943761927	5.024	LX	L	depth
LX3	-8.92017	-48.3429	31.1164665877603	5.024	LX	L	depth
LX7	-28.8451	-50.7715	29.7719437539051	5.024	LX	L	depth
LX8	-32.6847	-51.0821	28.0337675751147	5.024	LX	L	depth
LX11	-44.7264	-47.5611	22.8235945922888	5.024	LX	L	depth
LX14	-58.9325	-48.8734	21.0474611867168	5.024	LX	L	depth
LX15	-63.7767	-50.0095	21.3433599267441	5.024	LX	L	depth
LS1	-1.62052	-50.234	61.445870495417	5.024	LS	L	depth
LS2	-5.3497	-50.9009	60.708863394013	5.024	LS	L	depth
LS6	-20.6936	-51.7786	56.3997637014824	5.024	LS	L	depth
LS7	-23.8428	-51.228	54.7244350179299	5.024	LS	L	depth
LS9	-31.4934	-50.27	51.7531618391814	5.024	LS	L	depth
LS10	-35.2993	-49.7289	49.5217304440179	5.024	LS	L	depth
LS14	-50.5608	-47.1035	45.6538522840887	5.024	LS	L	depth
LS15	-54.1959	-46.3963	44.8411025010272	5.024	LS	L	depth
LS16	-57.4942	-46.4418	44.884102404253	5.024	LS	L	depth
RC1	32.1922	-31.5072	-10.1697873130667	6.184	RC	R	depth
RC2	37.2001	-31.5456	-10.6087540727436	6.184	RC	R	depth
RC6	53.6386	-32.731	-5.23063883509692	6.184	RC	R	depth
RC8	62.7975	-32.9033	-2.16624917555357	6.184	RC	R	depth
RC10	70.3234	-31.5455	-0.201826373246884	6.184	RC	R	depth
RF1	19.5746	-56.0438	-4.89244727117752	6.184	RF	R	depth
RF2	25.2779	-58.4166	-5.3283064733441	6.184	RF	R	depth
RF7	51.1394	-53.9651	3.30320473080602	6.184	RF	R	depth
RF9	59.8846	-56.328	5.55148899662531	6.184	RF	R	depth
RF10	64.2124	-57.7495	7.5847209888874	6.184	RF	R	depth
RL1	3.49136	-73.1085	5.76731846220982	5.024	RL	R	depth
RL2	6.2013	-74.0609	5.73065394646111	5.024	RL	R	depth
RL4	15.1264	-75.5609	3.54496564656648	5.024	RL	R	depth
RL5	19.1838	-75.3379	2.70838317906408	5.024	RL	R	depth
RL6	23.4419	-75.1641	4.7214487265039	5.024	RL	R	depth
RL12	44.6842	-72.1479	8.62226927444107	5.024	RL	R	depth
RL14	53.3455	-70.7598	8.40212019114	5.024	RL	R	depth
RL15	57.0062	-70.9675	8.56475388894345	5.024	RL	R	depth
RZ1	1.43709	-78.3328	17.3540042686594	5.024	RZ	R	depth
RZ2	5.00308	-77.3179	20.0270325406443	5.024	RZ	R	depth
RZ3	8.30173	-75.553	21.4589568450558	5.024	RZ	R	depth
RZ4	11.6771	-74.4894	22.2118087796071	5.024	RZ	R	depth
RZ5	14.8482	-73.2025	22.6619978746882	5.024	RZ	R	depth
RZ6	17.7037	-71.1668	23.2995775404245	5.024	RZ	R	depth
RZ8	23.2213	-69.4196	27.7729771173446	5.024	RZ	R	depth
RZ9	27.459	-69.4846	29.9467859188918	5.024	RZ	R	depth
RZ12	42.6731	-65.2195	29.5433490001191	5.024	RZ	R	depth
RZ13	47.4729	-63.0409	31.1540824394646	5.024	RZ	R	depth
RZ15	55.1297	-60.5928	32.1847038254935	5.024	RZ	R	depth
RP1	4.46146	-47.0996	60.5896647585609	5.024	RP	R	depth
RP2	6.89973	-47.1787	60.6529027835876	5.024	RP	R	depth
RP4	13.5696	-49.5855	61.0364961191047	5.024	RP	R	depth
RP6	21.0407	-54.4738	60.5202753311526	5.024	RP	R	depth
RP7	23.3722	-57.1516	60.5848115023615	5.024	RP	R	depth
RP9	28.2786	-58.4018	62.6123805026774	5.024	RP	R	depth
RP10	30.957	-59.2181	64.1559012412766	5.024	RP	R	depth
