name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RAFA1	SEEG	V	n/a	n/a	RAFA	1000	depth	n/a
RAFA2	SEEG	V	n/a	n/a	RAFA	1000	depth	n/a
RAFA3	SEEG	V	n/a	n/a	RAFA	1000	depth	n/a
RAFA4	SEEG	V	n/a	n/a	RAFA	1000	depth	n/a
RAFB1	SEEG	V	n/a	n/a	RAFB	1000	depth	n/a
RAFB2	SEEG	V	n/a	n/a	RAFB	1000	depth	n/a
RAFC1	SEEG	V	n/a	n/a	RAFC	1000	depth	n/a
RAFC2	SEEG	V	n/a	n/a	RAFC	1000	depth	n/a
RAFC3	SEEG	V	n/a	n/a	RAFC	1000	depth	n/a
RAFC4	SEEG	V	n/a	n/a	RAFC	1000	depth	n/a
RPFA1	SEEG	V	n/a	n/a	RPFA	1000	depth	n/a
RPFA2	SEEG	V	n/a	n/a	RPFA	1000	depth	n/a
RPFA3	SEEG	V	n/a	n/a	RPFA	1000	depth	n/a
RPFA4	SEEG	V	n/a	n/a	RPFA	1000	depth	n/a
RPFB1	SEEG	V	n/a	n/a	RPFB	1000	depth	n/a
RPFB2	SEEG	V	n/a	n/a	RPFB	1000	depth	n/a
RPFB3	SEEG	V	n/a	n/a	RPFB	1000	depth	n/a
RPFB4	SEEG	V	n/a	n/a	RPFB	1000	depth	n/a
RCA1	SEEG	V	n/a	n/a	RCA	1000	depth	n/a
RCA2	SEEG	V	n/a	n/a	RCA	1000	depth	n/a
RCA3	SEEG	V	n/a	n/a	RCA	1000	depth	n/a
RCA4	SEEG	V	n/a	n/a	RCA	1000	depth	n/a
RCB1	SEEG	V	n/a	n/a	RCB	1000	depth	n/a
RCB2	SEEG	V	n/a	n/a	RCB	1000	depth	n/a
RCB3	SEEG	V	n/a	n/a	RCB	1000	depth	n/a
RCB4	SEEG	V	n/a	n/a	RCB	1000	depth	n/a
RCC1	SEEG	V	n/a	n/a	RCC	1000	depth	n/a
RCC2	SEEG	V	n/a	n/a	RCC	1000	depth	n/a
RCC3	SEEG	V	n/a	n/a	RCC	1000	depth	n/a
RCC4	SEEG	V	n/a	n/a	RCC	1000	depth	n/a
RPA1	SEEG	V	n/a	n/a	RPA	1000	depth	n/a
RPA2	SEEG	V	n/a	n/a	RPA	1000	depth	n/a
RPA3	SEEG	V	n/a	n/a	RPA	1000	depth	n/a
RPA4	SEEG	V	n/a	n/a	RPA	1000	depth	n/a
RPB1	SEEG	V	n/a	n/a	RPB	1000	depth	n/a
RPB2	SEEG	V	n/a	n/a	RPB	1000	depth	n/a
RPB3	SEEG	V	n/a	n/a	RPB	1000	depth	n/a
RPB4	SEEG	V	n/a	n/a	RPB	1000	depth	n/a
RA1	SEEG	V	n/a	n/a	RA	1000	depth	n/a
RA2	SEEG	V	n/a	n/a	RA	1000	depth	n/a
RA3	SEEG	V	n/a	n/a	RA	1000	depth	n/a
RA4	SEEG	V	n/a	n/a	RA	1000	depth	n/a
RH1	SEEG	V	n/a	n/a	RH	1000	depth	n/a
RH2	SEEG	V	n/a	n/a	RH	1000	depth	n/a
RH3	SEEG	V	n/a	n/a	RH	1000	depth	n/a
RH4	SEEG	V	n/a	n/a	RH	1000	depth	n/a
LAF1	SEEG	V	n/a	n/a	LAF	1000	depth	n/a
LAF2	SEEG	V	n/a	n/a	LAF	1000	depth	n/a
LAF3	SEEG	V	n/a	n/a	LAF	1000	depth	n/a
LAF4	SEEG	V	n/a	n/a	LAF	1000	depth	n/a
