name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region
RAIS1	0.622466	-8.46154	59.9468752247369	-999	RAIS	R	strip	-0.447814	1.2514	23.3095	n/a
RAIS2	-1.95085	1.39158	32.3446655668142	-999	RAIS	L	strip	-0.732068	11.9262	27.9772	posteriorcingulate
RAIS3	-4.17739	14.1518	28.4235889984144	-999	RAIS	L	strip	-1.13493	20.9323	32.0049	caudalanteriorcingulate
RAIS4	-1.23151	21.4268	41.3005650520904	-999	RAIS	L	strip	-1.41917	31.6071	36.6726	superiorfrontal
RAIS5	-1.20021	27.9798	54.8893234282965	-999	RAIS	L	strip	0.441031	40.6538	41.2696	superiorfrontal
RAIS6	-0.721747	34.1782	55.5274878172078	-999	RAIS	L	strip	5.59647	50.6395	45.477	superiorfrontal
RAIS7	4.74487	45.187	56.3079976573192	-999	RAIS	R	strip	11.4211	56.7819	41.2735	superiorfrontal
RAIS8	12.9542	51.4042	43.929647138397	-999	RAIS	R	strip	14.3674	63.3126	35.7372	superiorfrontal
RMIS1	-5.07825	27.2295	66.0685218730374	-999	RMIS	L	strip	6.01351	41.1033	52.5139	superiorfrontal
RMIS2	-0.920405	21.6556	53.9759116672151	-999	RMIS	L	strip	1.9386	34.0964	47.1736	superiorfrontal
RMIS3	0.820082	14.092	44.9711774617289	-999	RMIS	R	strip	2.02415	25.1772	40.0196	superiorfrontal
RMIS4	1.13736	2.89654	42.0466272147039	-999	RMIS	R	strip	3.35266	15.9206	34.3496	superiorfrontal
RMIS5	1.28123	-4.09503	34.4372513681503	-999	RMIS	R	strip	1.82187	7.30719	32.8355	posteriorcingulate
RMIS6	-1.21756	2.44094	44.2696101153635	-999	RMIS	L	strip	2.89693	15.7808	40.703	superiorfrontal
RMIS7	0.666483	-8.33267	50.735311515628	-999	RMIS	R	strip	2.66727	5.89811	41.5309	superiorfrontal
RMIS8	-1.63601	-6.06649	55.556755404401	-999	RMIS	L	strip	0.0308216	5.8259	48.0858	superiorfrontal
RPIS1	9.5965	22.5224	67.0025139339638	-999	RPIS	R	strip	13.5564	36.4404	57.6894	superiorfrontal
RPIS2	1.20584	15.236	68.1608018223923	-999	RPIS	R	strip	6.37012	28.9664	59.7687	superiorfrontal
RPIS3	-0.495201	5.99582	63.4340333666029	-999	RPIS	L	strip	2.61024	18.3401	58.6303	superiorfrontal
RPIS4	0.387382	-5.33357	62.3026201319297	-999	RPIS	R	strip	2.05118	8.02406	56.3755	superiorfrontal
RPIS5	1.43899	-15.3597	54.9449175060226	-999	RPIS	R	strip	3.34571	0.73979	49.7606	superiorfrontal
RPIS6	-0.817443	-8.04844	53.2264012679124	-999	RPIS	L	strip	0.0308216	5.8259	48.0858	superiorfrontal
RPIS7	0.0525808	1.12046	59.9232622737842	-999	RPIS	R	strip	0.812753	15.4267	52.7399	superiorfrontal
RPIS8	0.119554	5.2395	57.3112790018162	-999	RPIS	R	strip	5.13034	20.2761	50.3597	superiorfrontal
RFG1	45.0875	54.9521	10.1245288369474	-999	RFG	R	grid	43.263	59.0221	1.85001	rostralmiddlefrontal
RFG2	49.0537	48.8755	17.526163309761	-999	RFG	R	grid	46.0981	52.7559	9.96527	rostralmiddlefrontal
RFG3	51.3668	39.1378	27.1863480255359	-999	RFG	R	grid	49.1098	47.2264	19.5783	parstriangularis
RFG4	52.3442	31.4923	32.5553433009107	-999	RFG	R	grid	50.6897	40.7774	26.253	parsopercularis
RFG5	55.4202	21.6796	38.5477219491344	-999	RFG	R	grid	51.2133	32.3897	33.9734	caudalmiddlefrontal
RFG6	54.9688	13.1533	42.7223002927152	-999	RFG	R	grid	51.4776	23.1571	39.4255	caudalmiddlefrontal
RFG7	35.702	60.0869	18.406972934085	-999	RFG	R	grid	35.1069	63.0635	7.01878	rostralmiddlefrontal
RFG8	38.2378	52.3598	28.5786298224205	-999	RFG	R	grid	36.8514	56.831	15.2349	rostralmiddlefrontal
RFG9	39.997	43.7675	35.7274870939733	-999	RFG	R	grid	39.8511	50.7814	24.8915	rostralmiddlefrontal
RFG10	41.7223	36.5635	41.5674795978497	-999	RFG	R	grid	41.4189	43.8122	31.6099	rostralmiddlefrontal
RFG11	43.9645	26.499	46.7322701901788	-999	RFG	R	grid	43.0328	35.3908	39.2294	caudalmiddlefrontal
RFG12	45.5359	17.2394	51.19937911317	-999	RFG	R	grid	43.4038	27.3068	45.3649	caudalmiddlefrontal
RFG13	26.909	62.712	25.4472529383742	-999	RFG	R	grid	25.3975	67.2638	13.1094	rostralmiddlefrontal
RFG14	25.3555	52.3365	36.3387634284467	-999	RFG	R	grid	27.1179	59.9911	21.4128	rostralmiddlefrontal
RFG15	27.6745	46.7039	42.5001221375285	-999	RFG	R	grid	29.4077	53.7418	29.5784	rostralmiddlefrontal
RFG16	28.882	39.2302	47.618701361084	-999	RFG	R	grid	32.1482	46.847	36.9665	superiorfrontal
RFG17	31.4254	31.0339	54.5186830693071	-999	RFG	R	grid	33.6798	38.3172	43.8155	superiorfrontal
RFG18	33.5324	21.035	60.4294474403208	-999	RFG	R	grid	32.8538	29.1185	49.3683	caudalmiddlefrontal
RFG19	14.5813	63.6549	30.3208654202555	-999	RFG	R	grid	16.2453	71.9674	19.1061	superiorfrontal
RFG20	15.1673	54.8701	40.8425076973016	-999	RFG	R	grid	17.8471	63.0259	26.7694	superiorfrontal
RFG21	16.8361	48.2431	47.1490465813447	-999	RFG	R	grid	19.5093	56.6852	34.2149	superiorfrontal
RFG22	20.2007	40.5663	52.9894836281177	-999	RFG	R	grid	22.3081	48.8584	42.4608	superiorfrontal
RFG23	20.387	33.1794	58.9785358982113	-999	RFG	R	grid	22.6912	41.2945	48.5528	superiorfrontal
RFG24	22.6754	24.1685	63.3097484578525	-999	RFG	R	grid	23.05	32.6903	54.7319	superiorfrontal
RPG1	28.0478	-52.1901	73.9381714767415	-999	RPG	R	grid	28.5872	-35.9427	76.338	superiorparietal
RPG2	31.1266	-40.1061	76.2344121536156	-999	RPG	R	grid	29.0057	-24.8031	76.9644	superiorparietal
RPG3	30.0181	-30.9491	76.5239521915494	-999	RPG	R	grid	29.2475	-14.4004	76.093	postcentral
RPG4	28.946	-22.8172	74.795718031941	-999	RPG	R	grid	29.2301	-4.84272	72.953	precentral
RPG5	26.3453	-11.9374	75.0478325533439	-999	RPG	R	grid	26.9618	5.19437	69.2005	precentral
RPG6	23.9729	0.819213	72.0380445043538	-999	RPG	R	grid	24.4924	13.4544	64.0371	superiorfrontal
RPG7	35.6049	-51.12	68.5100332835935	-999	RPG	R	grid	38.5096	-37.846	71.6145	superiorparietal
RPG8	41.2734	-41.9367	69.255785915627	-999	RPG	R	grid	39.8538	-26.9568	70.5986	superiorparietal
RPG9	41.1336	-33.5626	67.8562351751339	-999	RPG	R	grid	40.1197	-15.5137	69.6401	postcentral
RPG10	40.4393	-22.6241	69.2304193852225	-999	RPG	R	grid	39.0944	-5.81386	67.3716	precentral
RPG11	38.8227	-10.3151	68.5303080911333	-999	RPG	R	grid	37.9163	4.18939	63.5183	precentral
RPG12	36.2623	0.579591	64.2606019070525	-999	RPG	R	grid	35.447	12.4494	58.355	precentral
RPG13	46.9378	-52.5296	61.3255469807065	-999	RPG	R	grid	46.4913	-39.0914	63.8721	inferiorparietal
RPG14	51.316	-42.6527	60.5358646015117	-999	RPG	R	grid	47.9179	-28.0939	63.6271	inferiorparietal
RPG15	50.891	-33.1256	59.4879325774096	-999	RPG	R	grid	48.1595	-17.6911	62.7556	postcentral
RPG16	52.2641	-22.0657	59.7654317092217	-999	RPG	R	grid	48.2487	-6.98485	60.2993	postcentral
RPG17	48.3328	-8.29537	60.4190186015448	-999	RPG	R	grid	47.1531	3.12682	57.2166	postcentral
RPG18	43.701	3.23942	58.5498025878309	-999	RPG	R	grid	44.955	12.7521	54.2782	precentral
RPG19	55.5563	-53.4899	51.1311391789183	-999	RPG	R	grid	54.9358	-40.4621	55.3087	inferiorparietal
RPG20	58.737	-40.9941	51.5357595321201	-999	RPG	R	grid	56.3624	-29.4646	55.0636	supramarginal
RPG21	59.0321	-29.339	52.5132650437431	-999	RPG	R	grid	56.6041	-19.0619	54.1923	supramarginal
RPG22	57.7103	-18.7208	51.2715815498106	-999	RPG	R	grid	56.7757	-8.24715	52.5066	postcentral
RPG23	54.6375	-7.09151	50.9750855226119	-999	RPG	R	grid	55.6557	0.824133	49.511	postcentral
RPG24	52.8387	3.54846	50.804672537807	-999	RPG	R	grid	54.5723	11.4559	46.3847	precentral
RTG1	70.2907	-49.964	-14.8798935344442	-999	RTG	R	grid	63.6613	-47.4766	-7.03676	inferiortemporal
RTG2	72.5589	-45.9504	-3.45106402166329	-999	RTG	R	grid	63.7601	-44.4106	2.82856	middletemporal
RTG3	69.5317	-45.8046	10.2421101833528	-999	RTG	R	grid	63.9291	-41.7115	14.4025	supramarginal
RTG4	68.7545	-45.0905	18.1389365600715	-999	RTG	R	grid	62.9254	-39.0869	25.3064	supramarginal
RTG5	71.0564	-40.888	-17.7150812460575	-999	RTG	R	grid	66.0134	-36.7238	-8.807	inferiortemporal
RTG6	73.5951	-37.3365	-3.15921734688127	-999	RTG	R	grid	66.1002	-34.1805	1.04792	middletemporal
RTG7	70.4839	-36.8549	9.09607879147663	-999	RTG	R	grid	65.0966	-31.5591	11.8889	bankssts
RTG8	68.4223	-34.8018	18.7655149349081	-999	RTG	R	grid	65.1833	-28.9684	22.6921	supramarginal
RTG9	72.6508	-30.7482	-18.4599273311241	-999	RTG	R	grid	66.0905	-26.5294	-11.0547	inferiortemporal
RTG10	73.8994	-28.4418	-7.74145202013289	-999	RTG	R	grid	67.2676	-24.0194	-1.29171	middletemporal
RTG11	70.7076	-26.6346	5.56549008031214	-999	RTG	R	grid	66.3584	-20.7784	10.1025	superiortemporal
RTG12	69.8529	-25.8522	14.5100973977289	-999	RTG	R	grid	65.3548	-18.1538	21.0065	superiortemporal
RTG13	70.3884	-19.4006	-19.8232112079843	-999	RTG	R	grid	66.262	-15.7098	-12.6411	middletemporal
RTG14	70.3466	-16.7344	-7.44090977494463	-999	RTG	R	grid	67.439	-13.1999	-2.87813	middletemporal
RTG15	70.2589	-16.2145	3.23791684925349	-999	RTG	R	grid	66.4353	-10.5922	7.6896	superiortemporal
RTG16	68.811	-15.3614	12.5176854693638	-999	RTG	R	grid	66.6044	-7.89307	19.2636	postcentral
